Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,30,"[0, 46]",5,292.672,54.69,1.019.400,39.22,1.321.852,78.59
,,,,,,10,240.193,44.88,583.842,22.46,1.337.580,79.52
,,,,,,25,205.500,38.4,258.786,9.96,1.385.088,82.35
,,,,,,50,199.347,37.25,137.954,5.31,1.456.696,86.61
,,,,,,100,200.903,37.54,72.672,2.8,1.534.428,91.23
,,,,,,200,206.723,38.63,38.050,1.46,1.615.608,96.05
,co2_10.csv,356.382,CoderBasic,,,,1.247.353,100,6.058.494,100,3.920.202,100
,,,CoderPCA,0,"[0, 0]",5,659.227,52.85,1.283.003,21.18,3.990.687,101.8
,,,,,,10,574.686,46.07,641.519,10.59,3.955.841,100.91
,,,,,,25,523.912,42.0,256.710,4.24,3.934.458,100.36
,,,,,,50,507.036,40.65,128.831,2.13,3.927.330,100.18
,,,,,,100,498.678,39.98,65.529,1.08,3.923.766,100.09
,,,,,,200,494.658,39.66,35.153,0.58,3.921.984,100.05
,,,,3,"[0, 7]",5,624.324,50.05,1.283.003,21.18,3.711.463,94.68
,,,,,,10,541.892,43.44,641.519,10.59,3.693.491,94.22
,,,,,,25,501.604,40.21,256.710,4.24,3.755.994,95.81
,,,,,,50,490.866,39.35,128.831,2.13,3.797.970,96.88
,,,,,,100,488.196,39.14,65.529,1.08,3.839.913,97.95
,,,,,,200,488.638,39.17,35.153,0.58,3.873.826,98.82
,,,,5,"[0, 12]",5,619.709,49.68,1.283.003,21.18,3.674.547,93.73
,,,,,,10,534.021,42.81,641.519,10.59,3.630.527,92.61
,,,,,,25,486.457,39.0,256.710,4.24,3.634.818,92.72
,,,,,,50,474.561,38.05,128.831,2.13,3.667.532,93.55
,,,,,,100,473.222,37.94,65.529,1.08,3.720.123,94.9
,,,,,,200,477.693,38.3,35.153,0.58,3.786.266,96.58
,,,,10,"[0, 25]",5,612.972,49.14,1.283.003,21.18,3.620.647,92.36
,,,,,,10,528.824,42.4,641.519,10.59,3.588.947,91.55
