Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,30,"[0, 3380]",5,24.669,28.81,83.020,23.53,114.209,34.4
,,,,,,10,16.830,19.66,43.596,12.36,90.920,27.38
,,,,,,25,12.373,14.45,18.282,5.18,80.577,24.27
,,,,,,50,11.321,13.22,9.568,2.71,80.872,24.36
,,,,,,100,11.062,12.92,4.992,1.42,83.375,25.11
,,,,,,200,11.174,13.05,2.600,0.74,86.664,26.1
,,,CoderCA,0,"[0, 0]",5,65.440,76.43,138.360,39.22,385.035,115.96
,,,,,,10,60.510,70.67,79.254,22.47,404.700,121.89
,,,,,,25,57.511,67.17,35.156,9.97,424.809,127.94
,,,,,,50,57.980,67.72,18.722,5.31,444.994,134.02
,,,,,,100,59.404,69.38,9.888,2.8,465.221,140.11
,,,,,,200,61.347,71.65,5.200,1.47,485.448,146.21
,,,,3,"[0, 338]",5,53.750,62.78,138.360,39.22,291.517,87.8
,,,,,,10,45.995,53.72,79.254,22.47,288.580,86.91
,,,,,,25,40.974,47.86,35.156,9.97,292.509,88.1
,,,,,,50,40.320,47.09,18.722,5.31,303.710,91.47
,,,,,,100,40.826,47.68,9.888,2.8,316.595,95.35
,,,,,,200,41.937,48.98,5.200,1.47,330.168,99.44
,,,,5,"[0, 563]",5,52.145,60.9,138.360,39.22,278.673,83.93
,,,,,,10,44.195,51.62,79.254,22.47,274.180,82.58
,,,,,,25,39.052,45.61,35.156,9.97,277.137,83.47
,,,,,,50,38.285,44.72,18.722,5.31,287.430,86.57
,,,,,,100,38.699,45.2,9.888,2.8,299.575,90.22
,,,,,,200,39.711,46.38,5.200,1.47,312.360,94.08
,,,,10,"[0, 1127]",5,48.851,57.06,138.360,39.22,252.320,75.99
,,,,,,10,40.427,47.22,79.254,22.47,244.040,73.5
,,,,,,25,34.907,40.77,35.156,9.97,243.978,73.48
,,,,,,50,33.931,39.63,18.722,5.31,252.604,76.08
,,,,,,100,34.130,39.86,9.888,2.8,263.028,79.22
,,,,,,200,34.944,40.81,5.200,1.47,274.224,82.59
,,,,15,"[0, 1690]",5,46.309,54.09,138.360,39.22,231.990,69.87
,,,,,,10,37.327,43.6,79.254,22.47,219.240,66.03
,,,,,,25,31.589,36.9,35.156,9.97,217.434,65.49
,,,,,,50,30.389,35.49,18.722,5.31,224.268,67.54
,,,,,,100,30.410,35.52,9.888,2.8,233.266,70.25
,,,,,,200,31.062,36.28,5.200,1.47,243.168,73.24
,,,,20,"[0, 2253]",5,44.547,52.03,138.360,39.22,217.892,65.62
,,,,,,10,34.927,40.79,79.254,22.47,200.040,60.25
,,,,,,25,28.807,33.65,35.156,9.97,195.174,58.78
,,,,,,50,27.430,32.04,18.722,5.31,200.596,60.41
,,,,,,100,27.316,31.9,9.888,2.8,208.518,62.8
,,,,,,200,27.828,32.5,5.200,1.47,217.296,65.44
,,,,30,"[0, 3380]",5,41.863,48.9,138.360,39.22,196.422,59.16
,,,,,,10,31.465,36.75,79.254,22.47,172.340,51.9
,,,,,,25,24.767,28.93,35.156,9.97,162.855,49.05
,,,,,,50,23.138,27.02,18.722,5.31,166.254,50.07
,,,,,,100,22.765,26.59,9.888,2.8,172.109,51.84
,,,,,,200,23.079,26.96,5.200,1.47,179.304,54.0
,wind_direction_12.csv,25.064,CoderBasic,,,,103.405,100,426.088,100,401.024,100
,,,CoderPCA,0,"[0, 0]",5,61.984,59.94,90.285,21.19,405.461,101.11
,,,,,,10,56.104,54.26,45.177,10.6,403.531,100.63
,,,,,,25,52.553,50.82,18.275,4.29,402.027,100.25
,,,,,,50,51.364,49.67,9.257,2.17,401.526,100.13
,,,,,,100,50.874,49.2,5.589,1.31,401.275,100.06
,,,,,,200,50.577,48.91,3.339,0.78,401.150,100.03
,,,,3,"[0, 305]",5,54.976,53.17,90.285,21.19,349.397,87.13
,,,,,,10,51.658,49.96,45.177,10.6,367.963,91.76
,,,,,,25,50.297,48.64,18.275,4.29,383.979,95.75
,,,,,,50,50.286,48.63,9.257,2.17,392.902,97.97
,,,,,,100,50.082,48.43,5.589,1.31,394.939,98.48
,,,,,,200,50.179,48.53,3.339,0.78,397.966,99.24
,,,,5,"[0, 508]",5,53.280,51.53,90.285,21.19,335.829,83.74
,,,,,,10,50.722,49.05,45.177,10.6,360.475,89.89
,,,,,,25,50.057,48.41,18.275,4.29,382.059,95.27
,,,,,,50,50.090,48.44,9.257,2.17,391.334,97.58
,,,,,,100,50.082,48.43,5.589,1.31,394.939,98.48
,,,,,,200,50.179,48.53,3.339,0.78,397.966,99.24
,,,,10,"[0, 1017]",5,48.232,46.64,90.285,21.19,295.445,73.67
,,,,,,10,47.248,45.69,45.177,10.6,332.683,82.96
,,,,,,25,48.233,46.64,18.275,4.29,367.467,91.63
,,,,,,50,49.012,47.4,9.257,2.17,382.710,95.43
,,,,,,100,49.884,48.24,5.589,1.31,393.355,98.09
,,,,,,200,50.179,48.53,3.339,0.78,397.966,99.24
,,,,15,"[0, 1525]",5,43.184,41.76,90.285,21.19,255.061,63.6
