DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-05-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
600,25861,26988,26676,27703,28754,28484,N,N,N,27245,27993,27903,N,N,N,N,27090,29015,28158,N,29897,N,N,N,N,28589,28271,N,29255,28631,28716,N,N,28771,29119,N,N,30165,29840,N,N,28342,N,N,N,28193,N,N,28657,29921,29887,30539,N,N,27823
600,N,26979,26649,27701,28763,28476,N,N,N,27236,27983,27896,N,N,N,N,27091,28994,28160,N,29898,N,N,N,N,28587,28276,N,29248,28618,28712,N,N,28781,29120,N,N,30149,29843,N,N,28348,N,N,N,28196,N,N,28652,29910,29885,30499,N,N,27821
600,25864,26990,26643,27709,28767,28458,N,N,N,27221,27964,27896,N,N,N,N,27092,28992,28160,N,29880,N,N,N,N,28575,28267,N,29249,28596,28705,N,N,28767,29108,N,N,30034,29818,N,N,28352,N,N,N,28194,N,N,28649,29956,29876,30585,N,N,27822
600,25871,26998,26649,27699,28760,28442,N,N,N,27186,27962,27905,N,N,N,N,27083,29,28163,N,29875,N,N,N,N,28576,28268,N,29250,28576,28704,N,N,28777,29099,N,N,29962,29800,N,N,28351,N,N,N,28201,N,N,28649,29930,29864,30544,N,N,27821
600,25869,27019,26626,27703,28753,28438,N,N,N,27197,27955,27908,N,N,N,N,27079,28986,28164,N,29864,N,N,N,N,28574,28271,N,29256,28571,28697,N,N,28766,29102,N,N,29976,29748,N,N,28345,N,N,N,28185,N,N,28636,29938,29852,30613,N,N,27811
600,25842,26926,N,27691,28751,28418,N,N,N,27181,27970,27903,N,N,N,N,27073,28993,28154,N,29819,N,N,N,N,28580,28260,N,29248,28566,28694,N,N,28768,29101,N,N,29975,29749,N,N,28343,N,N,N,28187,N,N,28635,29926,29849,30674,N,N,27812
600,N,27006,26625,27685,28746,28434,N,N,N,27187,27959,27906,N,N,N,N,27060,28984,28163,N,29802,N,N,N,N,28575,28267,N,29253,28559,28688,N,N,28767,29097,N,N,29976,29734,N,N,28338,N,N,N,28188,N,N,28637,29939,29850,30725,N,N,27809
600,N,26960,26622,27692,28748,28388,N,N,N,27174,27907,27905,N,N,N,N,27050,28986,28162,N,29790,N,N,N,N,28578,28268,N,29252,28560,28689,N,N,28762,29096,N,N,30016,29724,N,N,28328,N,N,N,28173,N,N,28633,29926,29859,30688,N,N,27817
600,N,26945,26615,27694,28746,28395,N,N,N,27176,27887,27890,N,N,N,N,27042,28990,28153,N,29751,N,N,N,N,28574,28263,N,29249,28550,28687,N,N,28766,29084,N,N,30089,29721,N,N,28324,N,N,N,28197,N,N,28633,29918,29838,30598,N,N,27812
600,25844,26962,26597,27693,28748,28343,N,N,N,27180,27899,27886,N,N,N,N,27041,28981,28156,N,29737,N,N,N,N,28562,28269,N,29254,28536,28682,N,N,28751,29096,N,N,30141,29694,N,N,28318,N,N,N,28180,N,N,28617,29927,29852,30503,N,N,27806
600,N,26968,26600,27685,28741,28364,N,N,N,27160,27897,27866,N,N,N,N,27033,28992,28143,N,29733,N,N,N,N,28558,28266,N,29252,28543,28679,N,N,28761,29095,N,N,30229,29674,N,N,28320,N,N,N,28188,N,N,28625,29924,29854,30470,N,N,27804
600,N,26840,N,27673,28756,28361,N,N,N,27156,27886,27848,N,N,N,N,27037,28936,28131,N,29730,N,N,N,N,28552,28246,N,29254,28541,28672,N,N,28770,29098,N,N,30299,29642,N,N,28318,N,N,N,28175,N,N,28616,29910,29855,30462,N,N,27806
600,N,26873,26615,27661,28770,28335,N,N,N,27139,27889,27853,N,N,N,N,27031,28982,28143,N,29713,N,N,N,N,28546,28258,N,29257,28539,28672,N,N,28767,29098,N,N,30379,29618,N,N,28315,N,N,N,28187,N,N,28609,29917,29844,30479,N,N,27808
600,25813,26840,26628,27668,28749,28291,N,N,N,27156,27896,27838,N,N,N,N,27022,28966,28141,N,29718,N,N,N,N,28538,28257,N,29242,28537,28673,N,N,28773,29101,N,N,30421,29642,N,N,28320,N,N,N,28184,N,N,N,29897,29855,30529,N,N,27795
600,N,26852,26634,27662,28750,28279,N,N,N,27148,27889,27850,N,N,N,N,27028,28940,28136,N,29708,N,N,N,N,28524,28250,N,29261,28546,28669,N,N,28777,29095,N,N,30403,29638,N,N,28329,N,N,N,28186,N,N,28615,29900,29872,30606,N,N,27801
600,N,26877,26625,27661,28731,28287,N,N,N,27148,27895,27840,N,N,N,N,27017,28939,28139,N,29732,N,N,N,N,28534,28246,N,29227,N,28664,N,N,28777,29090,N,N,30525,29632,N,N,28325,N,N,N,28177,N,N,28599,29887,29858,30474,N,N,27804
600,25805,26859,26607,27669,28745,28315,N,N,N,27100,27891,27834,N,N,N,N,27013,28946,28131,N,29742,N,N,N,N,28536,28240,N,29225,28553,28666,N,N,28777,29085,N,N,30348,29612,N,N,28323,N,N,N,28176,N,N,28595,29869,29854,30626,N,N,27802
600,25794,26818,N,27662,28735,28256,N,N,N,27105,27883,27838,N,N,N,N,27011,28936,28118,N,29733,N,N,N,N,28535,28235,N,29221,28551,28658,N,N,28777,29080,N,N,30327,29610,N,N,28323,N,N,N,28178,N,N,N,29877,29871,30599,N,N,27795
600,25791,26834,26606,27664,28750,28216,N,N,N,27089,27884,27831,N,N,N,N,27009,28938,28126,N,29711,N,N,N,N,28534,28238,N,29212,28570,28662,N,N,28775,29085,N,N,30310,29619,N,N,28327,N,N,N,28178,N,N,28590,29882,29862,30580,N,N,27802
600,N,26853,26602,27633,28746,28251,N,N,N,27078,27877,27827,N,N,N,N,26997,28931,28123,N,29673,N,N,N,N,28534,28239,N,29201,28581,28663,N,N,28767,29085,N,N,30282,29617,N,N,28335,N,N,N,28168,N,N,28589,29880,29867,30560,N,N,27800
600,25771,26845,26597,27630,28740,28208,N,N,N,27054,27865,27824,N,N,N,N,26989,28937,28129,N,29684,N,N,N,N,28528,28226,N,29196,28586,28656,N,N,28768,29077,N,N,30260,29621,N,N,28327,N,N,N,28153,N,N,28588,29875,29825,30555,N,N,27796
600,N,26906,26596,27623,28742,28123,N,N,N,27054,27861,27830,N,N,N,N,26981,28936,28122,N,29656,N,N,N,N,28526,28243,N,29214,28585,28656,N,N,28775,29075,N,N,30273,29626,N,N,28326,N,N,N,28166,N,N,28583,29880,29812,30541,N,N,27795
600,N,26846,26597,27621,28747,28163,N,N,N,27054,27860,27825,N,N,N,N,26969,28923,28117,N,29647,N,N,N,N,28520,28236,N,29203,28586,28657,N,N,28763,29078,N,N,30295,29617,N,N,28324,N,N,N,28161,N,N,28587,29874,29821,30503,N,N,27791
