,,,CoderSF,,,,,,,,,,994.33,928.86,921.23,910.04,889.1,862.71,842.3,741.83
,,,CoderGAMPSLimit,8,8,8,8,8,8,8,16,,432.53,432.41,432.41,432.37,432.22,432.06,432.02,329.48
NOAA-SPC-tornado
,noaa_spc-tornado.csv
,,Lat
,,,CoderPCA,256,4,4,4,4,4,4,4,,100.03,99.74,93.88,89.2,79.91,73.97,69.52,61.63
,,,CoderAPCA,4,4,4,4,8,8,16,16,,111.96,85.41,70.62,65.16,54.16,46.77,41.94,33.47
,,,CoderCA,4,4,4,4,4,8,8,8,,116.33,104.03,94.1,88.88,81.44,75.86,70.79,63.89
,,,CoderPWLH,4,8,8,16,16,16,32,32,,274.35,236.1,205.62,188.34,160.07,141.58,129.6,108.51
,,,CoderPWLHInt,4,4,8,8,16,16,16,16,,108.19,95.48,84.03,76.62,66.39,58.47,53.71,45.59
,,,CoderFR,4,4,4,4,8,8,8,16,,112.13,103.78,96.92,93.18,86.11,78.49,73.48,65.54
,,,CoderSF,,,,,,,,,,916.54,746.96,634.74,569.82,477.48,406.12,361.35,288.59
,,,CoderGAMPSLimit,4,4,8,8,16,16,32,32,,527.74,403.33,328.19,295.2,239.87,202.99,178.28,140.27
,,Long
,,,CoderPCA,256,4,4,4,4,4,4,4,,100.03,98.8,89.12,83.12,73.36,67.59,61.97,54.94
,,,CoderAPCA,4,4,4,8,8,16,16,16,,110.96,82.05,65.04,57.62,45.51,39.85,34.81,28.38
,,,CoderCA,4,4,4,4,8,8,16,16,,115.07,98.8,86.92,81.87,71.42,64.63,60.06,53.08
,,,CoderPWLH,4,8,16,16,16,32,32,32,,253.28,203.73,170.05,153.83,124.73,109.13,97.8,83.06
,,,CoderPWLHInt,4,4,8,8,16,16,32,32,,107.59,90.4,74.76,68.44,55.15,48.62,44.33,37.53
,,,CoderFR,4,4,4,8,8,16,16,16,,111.32,100.51,91.42,86.01,74.77,67.72,61.77,54.86
,,,CoderSF,,,,,,,,,,838.82,638.51,514.09,449.82,351.47,297.52,261.64,207.69
,,,CoderGAMPSLimit,4,4,8,16,16,32,32,32,,487.95,361.16,276.0,241.75,185.82,159.28,138.16,110.4
NOAA-SPC-wind
,noaa_spc-wind.csv
,,Lat
,,,CoderPCA,256,256,4,4,4,4,4,4,,100.03,100.03,99.29,96.6,89.73,83.81,79.48,71.39
,,,CoderAPCA,4,4,4,4,4,8,8,8,,113.34,101.6,88.74,81.29,69.82,62.44,56.18,47.15
,,,CoderCA,4,4,4,4,4,4,4,4,,115.34,112.85,109.01,105.8,99.82,95.56,92.13,86.75
,,,CoderPWLH,4,4,4,8,8,8,16,16,,254.46,245.42,233.97,225.06,206.15,192.49,181.21,163.09
,,,CoderPWLHInt,4,4,4,4,8,8,8,8,,108.36,105.21,100.11,96.62,90.07,84.05,79.46,72.51
,,,CoderFR,4,4,4,4,4,4,8,8,,111.18,109.47,106.26,103.49,98.32,94.06,90.66,82.93
,,,CoderSF,,,,,,,,,,853.68,808.43,742.74,693.92,600.83,533.29,480.33,399.07
,,,CoderGAMPSLimit,4,4,4,8,8,16,16,32,,498.69,447.04,390.83,356.59,297.95,260.55,232.2,190.03
,,Long
,,,CoderPCA,256,256,4,4,4,4,4,4,,100.03,100.03,96.06,91.44,83.21,77.37,72.14,64.03
,,,CoderAPCA,4,4,4,4,8,8,8,16,,112.6,95.41,80.29,73.21,62.05,54.33,48.52,39.73
,,,CoderCA,4,4,4,4,4,4,4,8,,114.26,109.83,103.7,100.06,93.81,89.75,86.63,81.53
,,,CoderPWLH,4,4,8,8,16,16,16,16,,236.32,222.49,207.18,196.57,178.78,165.69,155.2,139.74
,,,CoderPWLHInt,4,4,4,8,8,8,8,16,,107.78,101.94,95.66,91.69,83.36,77.98,73.6,66.29
,,,CoderFR,4,4,4,4,4,8,8,8,,110.37,107.03,101.83,98.34,92.69,87.4,82.56,75.16
,,,CoderSF,,,,,,,,,,794.95,718.78,633.87,580.84,496.62,436.25,386.49,316.21
,,,CoderGAMPSLimit,4,4,8,8,16,16,32,32,,464.45,393.75,330.74,296.43,243.96,210.76,185.07,148.75
,,Speed
,,,CoderPCA,256,4,4,4,4,8,8,8,,100.03,67.73,55.22,44.21,37.59,35.05,32.79,30.46
,,,CoderAPCA,4,8,16,16,32,64,64,64,,98.09,43.81,28.02,23.98,15.71,12.29,10.33,8.21
,,,CoderCA,8,8,8,16,16,16,16,16,,74.14,70.56,57.14,45.53,45.47,45.43,45.34,45.21
,,,CoderPWLH,16,16,32,32,32,32,32,32,,165.93,146.43,94.21,94.02,93.74,93.52,93.4,93.18
,,,CoderPWLHInt,8,8,32,32,32,32,32,32,,68.31,61.71,41.22,41.13,41.0,40.92,40.88,40.82
,,,CoderFR,16,16,64,128,128,128,128,128,,65.48,58.96,25.89,16.79,16.51,16.32,16.12,15.77
,,,CoderSF,,,,,,,,,,620.36,260.06,44.84,40.68,38.7,37.96,37.53,36.94
,,,CoderGAMPSLimit,4,16,32,32,64,128,128,128,,462.41,193.69,117.27,99.53,62.87,47.86,40.19,31.47
