Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,100,76.727,19.94,447185,0,447185,100.0,165828,0,165828,6.3
,,,,,,200,70.320,18.27,447185,0,447185,100.0,114568,0,114568,4.36
,,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,337.418,87.68,447185,0,447185,100.0,2251351,0,2251351,85.59
,,,,,,10,201.023,52.24,447185,0,447185,100.0,1160196,0,1160196,44.11
,,,,,,25,116.865,30.37,447185,0,447185,100.0,486932,0,486932,18.51
,,,,,,50,88.935,23.11,447185,0,447185,100.0,263488,0,263488,10.02
,,,,,,100,75.072,19.51,447185,0,447185,100.0,152583,0,152583,5.8
,,,,,,200,68.394,17.77,447185,0,447185,100.0,99160,0,99160,3.77
,vwc_1204.dat.csv,26.305,CoderBasic,,,,384.811,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",5,435.611,113.2,447185,0,447185,100.0,3036900,0,3036900,115.45
,,,,,,10,327.408,85.08,447185,0,447185,100.0,2171276,0,2171276,82.54
,,,,,,25,269.583,70.06,447185,0,447185,100.0,1708676,0,1708676,64.96
,,,,,,50,254.474,66.13,447185,0,447185,100.0,1587800,0,1587800,60.36
,,,,,,100,248.498,64.58,447185,0,447185,100.0,1539992,0,1539992,58.54
,,,,,,200,246.779,64.13,447185,0,447185,100.0,1526240,0,1526240,58.02
,,,,1,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 'N']",5,403.090,104.75,447185,0,447185,100.0,2776733,0,2776733,105.56
,,,,,,10,280.743,72.96,447185,0,447185,100.0,1797952,0,1797952,68.35
,,,,,,25,212.074,55.11,447185,0,447185,100.0,1248603,0,1248603,47.47
,,,,,,50,193.422,50.26,447185,0,447185,100.0,1099382,0,1099382,41.79
,,,,,,100,185.681,48.25,447185,0,447185,100.0,1037455,0,1037455,39.44
,,,,,,200,182.855,47.52,447185,0,447185,100.0,1014848,0,1014848,38.58
,,,,3,"[0, 2, 0, 0, 1, 1, 2, 1, 0, 1, 'N']",5,389.336,101.18,447185,0,447185,100.0,2666698,0,2666698,101.38
,,,,,,10,260.699,67.75,447185,0,447185,100.0,1637600,0,1637600,62.25
,,,,,,25,186.558,48.48,447185,0,447185,100.0,1044476,0,1044476,39.71
,,,,,,50,164.714,42.8,447185,0,447185,100.0,869720,0,869720,33.06
,,,,,,100,154.987,40.28,447185,0,447185,100.0,791902,0,791902,30.1
,,,,,,200,151.066,39.26,447185,0,447185,100.0,760536,0,760536,28.91
,,,,5,"[0, 3, 1, 0, 2, 2, 4, 1, 1, 2, 'N']",5,367.836,95.59,447185,0,447185,100.0,2494694,0,2494694,94.84
,,,,,,10,229.906,59.75,447185,0,447185,100.0,1391256,0,1391256,52.89
,,,,,,25,148.258,38.53,447185,0,447185,100.0,738076,0,738076,28.06
,,,,,,50,122.931,31.95,447185,0,447185,100.0,535454,0,535454,20.36
,,,,,,100,111.421,28.95,447185,0,447185,100.0,443378,0,443378,16.86
,,,,,,200,106.404,27.65,447185,0,447185,100.0,403240,0,403240,15.33
,,,,10,"[0, 6, 2, 1, 3, 3, 7, 2, 2, 3, 'N']",5,356.790,92.72,447185,0,447185,100.0,2406330,0,2406330,91.48
,,,,,,10,213.523,55.49,447185,0,447185,100.0,1260196,0,1260196,47.91
,,,,,,25,126.780,32.95,447185,0,447185,100.0,566251,0,566251,21.53
,,,,,,50,98.678,25.64,447185,0,447185,100.0,341434,0,341434,12.98
,,,,,,100,85.241,22.15,447185,0,447185,100.0,233939,0,233939,8.89
,,,,,,200,79.090,20.55,447185,0,447185,100.0,184728,0,184728,7.02
,,,,15,"[0, 9, 2, 1, 5, 5, 11, 3, 2, 5, 'N']",5,356.455,92.63,447185,0,447185,100.0,2403650,0,2403650,91.38
,,,,,,10,212.964,55.34,447185,0,447185,100.0,1255720,0,1255720,47.74
,,,,,,25,125.940,32.73,447185,0,447185,100.0,559531,0,559531,21.27
,,,,,,50,97.621,25.37,447185,0,447185,100.0,332976,0,332976,12.66
,,,,,,100,83.871,21.8,447185,0,447185,100.0,222980,0,222980,8.48
,,,,,,200,77.570,20.16,447185,0,447185,100.0,172568,0,172568,6.56
,,,,20,"[0, 12, 3, 2, 6, 7, 14, 4, 3, 6, 'N']",5,355.981,92.51,447185,0,447185,100.0,2399860,0,2399860,91.23
,,,,,,10,211.791,55.04,447185,0,447185,100.0,1246336,0,1246336,47.38
,,,,,,25,123.806,32.17,447185,0,447185,100.0,542456,0,542456,20.62
,,,,,,50,94.825,24.64,447185,0,447185,100.0,310608,0,310608,11.81
,,,,,,100,80.667,20.96,447185,0,447185,100.0,197349,0,197349,7.5
,,,,,,200,73.906,19.21,447185,0,447185,100.0,143256,0,143256,5.45
,,,,30,"[0, 18, 5, 3, 9, 10, 21, 6, 5, 10, 'N']",5,355.579,92.4,447185,0,447185,100.0,2396641,0,2396641,91.11
,,,,,,10,210.916,54.81,447185,0,447185,100.0,1239336,0,1239336,47.11
,,,,,,25,122.231,31.76,447185,0,447185,100.0,529861,0,529861,20.14
,,,,,,50,92.742,24.1,447185,0,447185,100.0,293948,0,293948,11.17
,,,,,,100,78.228,20.33,447185,0,447185,100.0,177831,0,177831,6.76
,,,,,,200,71.216,18.51,447185,0,447185,100.0,121736,0,121736,4.63
,vwc_1205.dat.csv,26.305,CoderBasic,,,,384.811,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",5,364.626,94.75,447185,0,447185,100.0,2469019,0,2469019,93.86
,,,,,,10,259.096,67.33,447185,0,447185,100.0,1624780,0,1624780,61.77
,,,,,,25,197.741,51.39,447185,0,447185,100.0,1133939,0,1133939,43.11
,,,,,,50,178.934,46.5,447185,0,447185,100.0,983482,0,983482,37.39
,,,,,,100,170.167,44.22,447185,0,447185,100.0,913348,0,913348,34.72
,,,,,,200,166.423,43.25,447185,0,447185,100.0,883392,0,883392,33.58
,,,,1,"[0, 0, 0, 0, 'N', 'N', 1, 0, 'N', 'N', 'N']",5,359.410,93.4,447185,0,447185,100.0,2427289,0,2427289,92.27
,,,,,,10,251.671,65.4,447185,0,447185,100.0,1565380,0,1565380,59.51
