DATASET:,NOAA-SPC-tornado
TIME UNIT:,minutes
FIRST TIMESTAMP:,2015-01-03 20:05:00
Time Delta,Latitude,Longitude
1105,3701,-9266
5,3702,-9264
35,4128,-7687
15,4079,-7687
73,3599,-9488
32,4053,-7604
15,3627,-9448
55,3971,-7556
884,3788,-8603
6,3789,-8595
14,3789,-8572
1786,4393,-11220
665,3939,-8618
862,4617,-9650
7,4612,-9638
17,4610,-9614
17,4634,-9553
1412,3720,-8544
13,4318,-9019
25,3721,-8546
15,3663,-8544
20,4318,-9019
2,3813,-9799
1,3817,-9799
14,3815,-9803
6,3810,-9803
22,3661,-8543
41,4050,-8736
16,4044,-8721
10,3976,-8669
230,4281,-8541
811,3647,-8513
66,3615,-8556
12,3615,-8558
13,4231,-7789
81,3846,-8370
42,3720,-8544
40,3477,-8771
14,3469,-8743
4,3461,-8675
0,3460,-8753
30,3450,-8690
11,3435,-8684
2768,4107,-9158
3,4197,-9374
5,4107,-9158
40,4081,-9112
9,4083,-9100
35,4084,-9087
11,4083,-9077
9,4086,-9075
5,4090,-9064
5,4086,-9071
1,4162,-9030
20,4088,-9052
64,4322,-9290
15,4172,-8970
171,4036,-8954
953,4031,-8674
5,4029,-8671
212,4562,-9773
37,4545,-9736
8,4533,-9731
244,4495,-9392
61,4510,-9312
52,4471,-9201
10,4424,-9209
737,4246,-8860
19,4246,-8848
7,4263,-8887
2,4269,-8874
1693,3431,-11637
100,3821,-10130
2642,4072,-10432
2885,4191,-10061
229,4420,-9822
94,4403,-9782
15,4403,-9770
11,4783,-9844
16,4403,-9762
1188,4388,-9469
1324,4577,-9901
21,4574,-9900
1340,4821,-10297
192,4292,-10039
88,4247,-9974
1285,4480,-10794
4283,4329,-7183
1537,3286,-10970
2695,4100,-10077
10,4106,-10077
9,4097,-10077
116,4373,-8327
45,4109,-9453
5,4112,-9456
128,4235,-8810
12,4235,-8795
1090,2666,-8017
5,2676,-8014
1695,3793,-7572
5,3790,-7570
2683,4535,-9532
50,4534,-9513
61,4531,-9481
7,4531,-9481
27,4437,-9695
27,4429,-9682
100,3231,-8508
118,3178,-8595
2381,2969,-8528
178,3813,-9982
224,4022,-9595
1114,4381,-9844
1357,4325,-8808
393,4100,-7990
5373,2674,-8094
3041,4042,-10474
0,4040,-10449
1395,3159,-8960
3,3929,-10453
78,3977,-10372
1298,4192,-9118
79,4098,-8872
33,4079,-8864
5,4079,-8870
59,4052,-8932
106,4172,-8810
11,4180,-8801
52,4261,-8841
33,4286,-8823
17,4298,-8826
2597,4089,-7705
11615,3796,-9724
14258,3994,-9679
1349,4438,-8412
11,4441,-8394
2982,4015,-9013
220,3890,-9597
2410,2998,-8216
0,2986,-8224
6070,2607,-8031
2830,4142,-8782
81,3865,-9491
21,3867,-9480
13,3861,-9468
17,3863,-9452
6,3861,-9451
6,3863,-9452
19,3865,-9435
8889,3272,-8006
5,3277,-8006
7,3278,-8011
5,3283,-8009
2356,2767,-9763
3950,2625,-8181
717,3910,-7684
158,4004,-7638
9534,3331,-11246
