Dataset,Filename,#rows,%,Error Threshold,Window Param,Other columns - Size (data)
,,,30,"[0, 'N', 'N', 'N', 'N', 'N', 'N', 39, 82, 3, 65, 81, 3, 68, 69, 3, 72, 61, 3, 75, 55, 3, 78, 53, 4, 75, 53, 4, 70, 57, 4, 64, 63, 5, 59, 68, 5, 55, 71, 5, 53, 72, 6, 52, 70, 6, 53, 69, 6, 54, 66, 6, 54, 63, 6, 52, 60, 6, 51, 56, 6, 49, 52, 6, 47, 49, 6, 46, 47, 6, 45, 45, 6, 44, 44, 6, 43, 44, 6, 43, 44, 6, 43, 43, 6, 43, 43, 5, 43, 42, 5, 43, 41, 5, 44, 40, 5, 44, 39, 5, 45, 38, 4, 46, 38, 4, 46, 37, 4, 46, 37, 4, 45, 37, 4, 58, 46, 3, 50, 36, 4, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 14, 7, 1, 30, 53, 2, 31, 51, 2, 33, 47, 2, 35, 44, 2, 37, 40, 3, 39, 37, 3, 40, 35, 3, 39, 34, 3, 39, 34, 3, 38, 34, 3, 36, 33, 3, 34, 33, 3, 29, 31, 3, 26, 31, 3, 23, 31, 3, 23, 30, 3, 24, 29, 3, 26, 28, 4, 29, 25, 4, 31, 23, 4, 32, 20, 5, 32, 18, 5, 32, 18, 6, 31, 18, 6, 30, 18, 7, 30, 18, 7, 31, 18, 7, 31, 18, 8, 31, 18, 8, 31, 18, 8, 31, 17, 8, 29, 16, 8, 28, 15, 8, 26, 15, 8, 24, 15, 8, 22, 15, 8, 20, 15, 8, 19, 15, 7, 18, 15, 7, 17, 14, 7, 16, 13, 7, 16, 12, 7, 15, 11, 6, 14, 11, 6, 12, 10, 6, 2, 6, 7, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 33, 21, 2, 59, 35, 2, 65, 36, 2, 68, 36, 2, 72, 36, 2, 76, 36, 2, 79, 36, 2, 82, 38, 2, 85, 40, 2, 88, 43, 2, 89, 45, 2, 89, 47, 2, 87, 47, 2, 82, 45, 2, 77, 42, 2, 69, 39, 2, 62, 37, 2, 57, 38, 2, 54, 40, 2, 50, 41, 2, 47, 42, 2, 41, 40, 2, 36, 40, 2, 31, 42, 2, 27, 43, 2, 27, 47, 2, 26, 48, 2, 24, 49, 3, 23, 51, 3, 22, 49, 4, 22, 49, 4, 22, 47, 5, 21, 45, 6, 21, 45, 6, 21, 46, 7, 23, 48, 7, 26, 48, 8, 27, 45, 8, 28, 42, 8, 27, 38, 8, 26, 35, 8, 26, 33, 8, 27, 31, 8, 27, 29, 8, 29, 27, 7, 29, 25, 7, 30, 22, 7, 31, 20, 7, 22, 17, 2, 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",5,INT 42.16%
,,,,,10,INT 44.38%
,,,,,25,INT 45.70%
,,,,,50,INT 46.64%
,,,,,100,INT 47.53%
,,,,,200,INT 48.38%
SolarAnywhere,solar-anywhere-2011.csv,8.759,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.34%,INT 34.34%,INT 34.34%
,,,,,10,INT 35.31%,INT 35.31%,INT 35.31%
,,,,,25,INT 36.24%,INT 36.25%,INT 36.25%
,,,,,50,INT 37.16%,INT 37.16%,INT 37.16%
,,,,,100,INT 38.04%,INT 38.05%,INT 38.05%
,,,,,200,INT 38.91%,INT 38.91%,INT 38.91%
,,,1,"[0, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1]",5,INT 36.02%,INT 35.53%,INT 36.01%
,,,,,10,INT 37.24%,INT 36.63%,INT 37.13%
,,,,,25,INT 39.28%,INT 38.04%,INT 38.59%
,,,,,50,INT 40.26%,INT 39.00%,INT 39.57%
,,,,,100,INT 41.22%,INT 39.93%,INT 40.52%
,,,,,200,INT 42.16%,INT 40.84%,INT 41.44%
,,,3,"[0, 8, 8, 3, 8, 8, 3, 9, 9, 3, 8, 8, 3, 8, 8, 3, 9, 9, 3, 8, 8, 3, 8, 8, 3, 8, 9, 3, 8, 8, 3, 8, 8, 3, 9, 9, 3]",5,INT 36.84%,INT 36.16%,INT 36.00%
,,,,,10,INT 38.17%,INT 37.66%,INT 37.25%
,,,,,25,INT 41.10%,INT 39.82%,INT 39.29%
,,,,,50,INT 42.13%,INT 40.85%,INT 40.28%
,,,,,100,INT 43.14%,INT 41.83%,INT 41.24%
,,,,,200,INT 44.11%,INT 42.78%,INT 42.17%
,,,5,"[0, 14, 14, 5, 13, 13, 5, 14, 15, 5, 13, 14, 5, 13, 14, 5, 14, 15, 5, 13, 13, 5, 14, 13, 5, 14, 14, 5, 13, 13, 5, 14, 14, 5, 14, 15, 5]",5,INT 37.45%,INT 36.55%,INT 36.16%
,,,,,10,INT 38.98%,INT 38.23%,INT 37.44%
,,,,,25,INT 42.55%,INT 41.00%,INT 39.66%
,,,,,50,INT 43.62%,INT 42.06%,INT 40.66%
,,,,,100,INT 44.66%,INT 43.07%,INT 41.63%
,,,,,200,INT 45.67%,INT 44.06%,INT 42.57%
,,,10,"[0, 27, 28, 10, 27, 27, 10, 28, 30, 9, 27, 27, 10, 27, 27, 10, 29, 29, 9, 26, 27, 10, 27, 27, 10, 28, 29, 10, 27, 27, 10, 28, 28, 10, 29, 29, 9]",5,INT 38.57%,INT 37.29%,INT 37.16%
,,,,,10,INT 40.56%,INT 39.33%,INT 38.68%
,,,,,25,INT 44.61%,INT 42.45%,INT 40.84%
,,,,,50,INT 45.73%,INT 43.60%,INT 41.87%
,,,,,100,INT 46.82%,INT 44.65%,INT 42.87%
,,,,,200,INT 47.88%,INT 45.68%,INT 43.84%
,,,15,"[0, 41, 41, 15, 40, 40, 15, 43, 44, 14, 40, 41, 15, 40, 41, 15, 43, 44, 14, 40, 40, 15, 41, 40, 15, 42, 43, 14, 40, 40, 15, 41, 42, 15, 43, 44, 14]",5,INT 39.80%,INT 38.11%,INT 38.09%
,,,,,10,INT 42.49%,INT 40.48%,INT 40.01%
,,,,,25,INT 46.49%,INT 43.40%,INT 41.94%
,,,,,50,INT 47.66%,INT 44.63%,INT 43.00%
,,,,,100,INT 48.80%,INT 45.71%,INT 44.02%
,,,,,200,INT 49.90%,INT 46.75%,INT 45.02%
,,,20,"[0, 55, 55, 19, 54, 54, 20, 57, 59, 18, 54, 54, 20, 54, 54, 20, 57, 59, 18, 53, 53, 20, 54, 54, 20, 56, 57, 19, 54, 54, 20, 55, 56, 19, 57, 58, 18]",5,INT 40.88%,INT 39.06%,INT 38.84%
,,,,,10,INT 44.45%,INT 41.86%,INT 41.28%
,,,,,25,INT 48.30%,INT 44.93%,INT 43.12%
,,,,,50,INT 49.52%,INT 46.23%,INT 44.21%
,,,,,100,INT 50.70%,INT 47.35%,INT 45.26%
,,,,,200,INT 51.84%,INT 48.44%,INT 46.29%
,,,30,"[0, 82, 83, 29, 81, 81, 30, 85, 89, 27, 81, 82, 29, 81, 81, 30, 86, 88, 27, 79, 80, 30, 81, 80, 30, 83, 86, 29, 81, 81, 30, 83, 84, 29, 86, 88, 28]",5,INT 41.85%,INT 40.57%,INT 39.91%
,,,,,10,INT 47.20%,INT 44.65%,INT 43.82%
,,,,,25,INT 51.41%,INT 48.61%,INT 45.45%
,,,,,50,INT 52.75%,INT 50.12%,INT 46.60%
,,,,,100,INT 54.01%,INT 51.34%,INT 47.71%
,,,,,200,INT 55.23%,INT 52.53%,INT 48.79%
,solar-anywhere-2012.csv,8.759,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.34%,INT 34.34%,INT 34.34%
,,,,,10,INT 35.31%,INT 35.31%,INT 35.31%
,,,,,25,INT 36.25%,INT 36.25%,INT 36.25%
,,,,,50,INT 37.16%,INT 37.16%,INT 37.16%
,,,,,100,INT 38.05%,INT 38.05%,INT 38.05%
,,,,,200,INT 38.91%,INT 38.91%,INT 38.91%
,,,1,"[0, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1]",5,INT 36.02%,INT 35.68%,INT 35.95%
,,,,,10,INT 37.23%,INT 36.81%,INT 37.05%
,,,,,25,INT 39.22%,INT 38.13%,INT 38.61%
,,,,,50,INT 40.20%,INT 39.10%,INT 39.59%
,,,,,100,INT 41.16%,INT 40.03%,INT 40.54%
,,,,,200,INT 42.09%,INT 40.94%,INT 41.46%
,,,3,"[0, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 9, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3]",5,INT 36.82%,INT 36.27%,INT 36.11%
,,,,,10,INT 38.18%,INT 37.83%,INT 37.37%
,,,,,25,INT 40.89%,INT 39.96%,INT 39.41%
,,,,,50,INT 41.92%,INT 41.00%,INT 40.40%
,,,,,100,INT 42.92%,INT 41.99%,INT 41.36%
,,,,,200,INT 43.89%,INT 42.94%,INT 42.30%
,,,5,"[0, 13, 13, 5, 13, 13, 5, 14, 14, 5, 13, 13, 5, 13, 13, 5, 14, 14, 5, 13, 13, 5, 13, 13, 5, 14, 14, 5, 13, 13, 5, 14, 14, 5, 14, 14, 5]",5,INT 37.55%,INT 36.63%,INT 36.26%
,,,,,10,INT 39.09%,INT 38.36%,INT 37.56%
,,,,,25,INT 42.47%,INT 41.06%,INT 39.97%
,,,,,50,INT 43.54%,INT 42.13%,INT 40.98%
,,,,,100,INT 44.57%,INT 43.15%,INT 41.96%
,,,,,200,INT 45.58%,INT 44.12%,INT 42.91%
,,,10,"[0, 27, 27, 10, 26, 26, 10, 28, 28, 10, 26, 27, 10, 26, 27, 10, 28, 29, 9, 26, 26, 10, 27, 26, 10, 27, 28, 10, 27, 27, 10, 27, 28, 10, 28, 28, 10]",5,INT 38.56%,INT 37.35%,INT 37.24%
,,,,,10,INT 40.54%,INT 39.43%,INT 38.81%
,,,,,25,INT 44.50%,INT 42.54%,INT 41.07%
,,,,,50,INT 45.62%,INT 43.69%,INT 42.10%
,,,,,100,INT 46.70%,INT 44.75%,INT 43.10%
,,,,,200,INT 47.76%,INT 45.76%,INT 44.08%
,,,15,"[0, 40, 40, 15, 39, 40, 16, 41, 42, 14, 40, 40, 15, 40, 40, 15, 42, 43, 14, 39, 39, 16, 40, 40, 15, 41, 42, 15, 40, 40, 15, 41, 42, 15, 42, 42, 15]",5,INT 39.79%,INT 38.09%,INT 38.21%
,,,,,10,INT 42.38%,INT 40.58%,INT 40.14%
,,,,,25,INT 46.28%,INT 43.64%,INT 42.28%
,,,,,50,INT 47.45%,INT 44.88%,INT 43.34%
,,,,,100,INT 48.58%,INT 45.97%,INT 44.37%
,,,,,200,INT 49.68%,INT 47.01%,INT 45.38%
,,,20,"[0, 54, 54, 20, 53, 53, 21, 55, 56, 19, 53, 53, 21, 53, 53, 21, 56, 57, 19, 52, 52, 21, 53, 53, 21, 55, 56, 20, 53, 54, 21, 55, 56, 20, 56, 56, 20]",5,INT 40.94%,INT 39.06%,INT 39.15%
,,,,,10,INT 44.42%,INT 42.03%,INT 41.76%
,,,,,25,INT 48.01%,INT 45.16%,INT 43.64%
,,,,,50,INT 49.22%,INT 46.50%,INT 44.74%
,,,,,100,INT 50.39%,INT 47.65%,INT 45.81%
,,,,,200,INT 51.53%,INT 48.73%,INT 46.84%
,,,30,"[0, 81, 81, 30, 79, 79, 31, 83, 85, 29, 79, 80, 31, 79, 80, 31, 84, 86, 28, 79, 78, 31, 80, 79, 31, 82, 85, 29, 80, 80, 31, 82, 83, 30, 84, 85, 29]",5,INT 41.95%,INT 40.58%,INT 40.00%
,,,,,10,INT 47.34%,INT 44.81%,INT 43.95%
,,,,,25,INT 51.24%,INT 48.59%,INT 45.87%
,,,,,50,INT 52.54%,INT 50.17%,INT 47.03%
,,,,,100,INT 53.79%,INT 51.44%,INT 48.15%
,,,,,200,INT 55.01%,INT 52.60%,INT 49.24%
,solar-anywhere-2013.csv,8.759,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.34%,INT 34.34%,INT 34.34%
,,,,,10,INT 35.31%,INT 35.31%,INT 35.31%
,,,,,25,INT 36.25%,INT 36.25%,INT 36.25%
,,,,,50,INT 37.16%,INT 37.16%,INT 37.16%
,,,,,100,INT 38.05%,INT 38.05%,INT 38.05%
,,,,,200,INT 38.91%,INT 38.91%,INT 38.91%
,,,1,"[0, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 2, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1]",5,INT 35.98%,INT 35.60%,INT 35.96%
,,,,,10,INT 37.18%,INT 36.74%,INT 37.06%
,,,,,25,INT 39.20%,INT 38.14%,INT 38.44%
,,,,,50,INT 40.18%,INT 39.12%,INT 39.41%
,,,,,100,INT 41.14%,INT 40.05%,INT 40.35%
,,,,,200,INT 42.07%,INT 40.96%,INT 41.27%
,,,3,"[0, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 7, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3]",5,INT 36.76%,INT 36.20%,INT 36.11%
,,,,,10,INT 38.08%,INT 37.69%,INT 37.37%
,,,,,25,INT 40.92%,INT 39.88%,INT 39.42%
,,,,,50,INT 41.95%,INT 40.91%,INT 40.41%
,,,,,100,INT 42.95%,INT 41.89%,INT 41.38%
,,,,,200,INT 43.92%,INT 42.84%,INT 42.31%
,,,5,"[0, 13, 13, 5, 13, 13, 5, 14, 13, 5, 13, 13, 5, 13, 13, 5, 14, 14, 5, 13, 12, 5, 13, 13, 5, 14, 14, 5, 13, 13, 5, 14, 14, 5, 14, 14, 5]",5,INT 37.28%,INT 36.60%,INT 36.30%
,,,,,10,INT 38.75%,INT 38.24%,INT 37.61%
,,,,,25,INT 42.22%,INT 40.89%,INT 39.94%
,,,,,50,INT 43.28%,INT 41.97%,INT 40.94%
,,,,,100,INT 44.32%,INT 42.99%,INT 41.92%
,,,,,200,INT 45.32%,INT 43.96%,INT 42.87%
,,,10,"[0, 26, 26, 10, 26, 25, 11, 27, 27, 10, 26, 25, 10, 26, 25, 11, 27, 27, 10, 26, 25, 11, 26, 25, 11, 28, 28, 10, 27, 26, 11, 27, 27, 10, 28, 28, 10]",5,INT 38.42%,INT 37.37%,INT 37.24%
,,,,,10,INT 40.31%,INT 39.44%,INT 38.81%
,,,,,25,INT 44.14%,INT 42.46%,INT 41.03%
,,,,,50,INT 45.25%,INT 43.62%,INT 42.06%
,,,,,100,INT 46.33%,INT 44.67%,INT 43.06%
,,,,,200,INT 47.37%,INT 45.68%,INT 44.04%
,,,15,"[0, 39, 39, 16, 39, 38, 16, 41, 40, 15, 39, 38, 16, 40, 38, 16, 41, 41, 15, 39, 37, 16, 40, 38, 16, 41, 42, 15, 40, 38, 16, 41, 41, 15, 42, 42, 14]",5,INT 39.68%,INT 38.18%,INT 38.15%
,,,,,10,INT 42.27%,INT 40.56%,INT 40.04%
,,,,,25,INT 46.00%,INT 43.66%,INT 42.08%
,,,,,50,INT 47.16%,INT 44.89%,INT 43.13%
,,,,,100,INT 48.28%,INT 45.98%,INT 44.16%
,,,,,200,INT 49.38%,INT 47.02%,INT 45.16%
,,,20,"[0, 53, 51, 21, 52, 50, 21, 54, 53, 20, 52, 51, 21, 53, 50, 21, 55, 55, 20, 52, 49, 22, 53, 50, 21, 55, 55, 20, 53, 51, 21, 55, 54, 20, 56, 56, 19]",5,INT 40.79%,INT 38.97%,INT 38.98%
,,,,,10,INT 44.21%,INT 41.87%,INT 41.33%
,,,,,25,INT 47.82%,INT 45.17%,INT 43.11%
,,,,,50,INT 49.02%,INT 46.49%,INT 44.19%
,,,,,100,INT 50.19%,INT 47.62%,INT 45.25%
,,,,,200,INT 51.32%,INT 48.70%,INT 46.27%
,,,30,"[0, 79, 77, 31, 78, 75, 32, 81, 80, 30, 78, 76, 31, 79, 75, 32, 82, 82, 30, 78, 74, 32, 79, 76, 32, 83, 83, 30, 80, 77, 32, 82, 81, 30, 84, 84, 29]",5,INT 41.91%,INT 40.55%,INT 40.10%
,,,,,10,INT 47.32%,INT 44.67%,INT 43.93%
,,,,,25,INT 51.10%,INT 48.35%,INT 45.37%
,,,,,50,INT 52.39%,INT 49.88%,INT 46.51%
,,,,,100,INT 53.64%,INT 51.10%,INT 47.62%
,,,,,200,INT 54.85%,INT 52.26%,INT 48.70%
,solar-anywhere-2014.csv,8.759,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 34.34%,INT 34.34%,INT 34.34%
,,,,,10,INT 35.30%,INT 35.31%,INT 35.31%
,,,,,25,INT 36.24%,INT 36.25%,INT 36.25%
,,,,,50,INT 37.16%,INT 37.16%,INT 37.16%
,,,,,100,INT 38.04%,INT 38.05%,INT 38.05%
,,,,,200,INT 38.91%,INT 38.91%,INT 38.91%
,,,1,"[0, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 1]",5,INT 36.06%,INT 35.60%,INT 35.95%
,,,,,10,INT 37.28%,INT 36.75%,INT 37.04%
,,,,,25,INT 39.25%,INT 38.11%,INT 38.44%
,,,,,50,INT 40.24%,INT 39.08%,INT 39.41%
,,,,,100,INT 41.20%,INT 40.01%,INT 40.35%
,,,,,200,INT 42.13%,INT 40.92%,INT 41.27%
,,,3,"[0, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 8, 3, 8, 9, 3, 8, 8, 3, 8, 8, 3, 8, 9, 3, 8, 8, 3, 9, 9, 3, 9, 9, 3]",5,INT 36.83%,INT 36.19%,INT 36.17%
,,,,,10,INT 38.13%,INT 37.70%,INT 37.46%
,,,,,25,INT 40.94%,INT 40.04%,INT 39.45%
,,,,,50,INT 41.97%,INT 41.07%,INT 40.44%
,,,,,100,INT 42.97%,INT 42.05%,INT 41.40%
,,,,,200,INT 43.95%,INT 43.00%,INT 42.34%
,,,5,"[0, 13, 14, 5, 13, 13, 5, 14, 14, 5, 13, 13, 5, 13, 13, 5, 14, 14, 5, 13, 13, 5, 13, 13, 5, 14, 14, 5, 14, 13, 5, 14, 14, 5, 14, 15, 5]",5,INT 37.44%,INT 36.51%,INT 36.31%
,,,,,10,INT 38.97%,INT 38.15%,INT 37.65%
,,,,,25,INT 42.48%,INT 40.89%,INT 40.02%
,,,,,50,INT 43.55%,INT 41.97%,INT 41.03%
,,,,,100,INT 44.58%,INT 42.97%,INT 42.01%
,,,,,200,INT 45.59%,INT 43.95%,INT 42.96%
,,,10,"[0, 27, 27, 10, 27, 27, 10, 28, 28, 10, 27, 27, 10, 27, 27, 10, 28, 28, 10, 27, 26, 10, 27, 27, 10, 28, 29, 10, 27, 27, 10, 28, 28, 10, 29, 29, 9]",5,INT 38.60%,INT 37.27%,INT 37.27%
,,,,,10,INT 40.61%,INT 39.26%,INT 38.84%
,,,,,25,INT 44.73%,INT 42.34%,INT 41.19%
,,,,,50,INT 45.86%,INT 43.51%,INT 42.23%
,,,,,100,INT 46.96%,INT 44.56%,INT 43.24%
,,,,,200,INT 48.02%,INT 45.57%,INT 44.21%
,,,15,"[0, 40, 41, 15, 40, 40, 15, 42, 42, 14, 40, 40, 15, 40, 40, 15, 42, 43, 14, 40, 39, 16, 40, 40, 16, 42, 43, 14, 41, 40, 15, 43, 43, 15, 43, 44, 14]",5,INT 39.83%,INT 38.10%,INT 38.14%
,,,,,10,INT 42.56%,INT 40.51%,INT 40.11%
,,,,,25,INT 46.54%,INT 43.66%,INT 42.24%
,,,,,50,INT 47.71%,INT 44.88%,INT 43.31%
,,,,,100,INT 48.85%,INT 45.98%,INT 44.34%
,,,,,200,INT 49.96%,INT 47.02%,INT 45.35%
,,,20,"[0, 54, 54, 20, 54, 53, 20, 56, 56, 19, 54, 53, 21, 54, 53, 20, 56, 57, 19, 53, 52, 21, 54, 53, 21, 57, 58, 19, 54, 54, 21, 57, 57, 20, 57, 58, 19]",5,INT 40.90%,INT 38.94%,INT 39.04%
,,,,,10,INT 44.43%,INT 41.85%,INT 41.55%
,,,,,25,INT 48.21%,INT 45.22%,INT 43.33%
,,,,,50,INT 49.44%,INT 46.50%,INT 44.42%
,,,,,100,INT 50.62%,INT 47.65%,INT 45.48%
,,,,,200,INT 51.76%,INT 48.73%,INT 46.51%
,,,30,"[0, 81, 81, 30, 81, 80, 31, 84, 84, 29, 81, 80, 31, 80, 80, 31, 85, 85, 29, 80, 78, 31, 81, 80, 31, 85, 87, 29, 81, 80, 31, 85, 85, 29, 86, 87, 28]",5,INT 41.99%,INT 40.57%,INT 40.13%
,,,,,10,INT 47.44%,INT 44.77%,INT 44.05%
,,,,,25,INT 51.61%,INT 48.39%,INT 45.64%
,,,,,50,INT 52.96%,INT 49.89%,INT 46.80%
,,,,,100,INT 54.22%,INT 51.16%,INT 47.92%
,,,,,200,INT 55.45%,INT 52.33%,INT 49.00%
ElNino,el-nino.csv,6.371,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,INT 37.31%,INT 52.24%,INT 31.34%,INT 31.34%,INT 34.33%,INT 40.30%,INT 40.30%
,,,,,10,INT 38.24%,INT 52.94%,INT 32.35%,INT 32.35%,INT 35.30%,INT 41.18%,INT 41.18%
,,,,,25,INT 39.13%,INT 53.62%,INT 33.33%,INT 33.33%,INT 36.23%,INT 42.03%,INT 42.03%
,,,,,50,INT 40.00%,INT 54.29%,INT 34.29%,INT 34.29%,INT 37.14%,INT 42.86%,INT 42.86%
,,,,,100,INT 40.85%,INT 54.93%,INT 35.21%,INT 35.21%,INT 38.03%,INT 43.66%,INT 43.66%
,,,,,200,INT 41.67%,INT 55.56%,INT 36.11%,INT 36.11%,INT 38.89%,INT 44.45%,INT 44.45%
