Dataset,Filename,#rows,%,Error Threshold,Window Param,Other columns - Size (data)
,,,30,"[0, 12, 3, 5, 2, 4, 10, 6, 4, 3, 2]",5,INT 34.36%
,,,,,10,INT 35.45%
,,,,,25,INT 37.08%
,,,,,50,INT 39.41%
,,,,,100,INT 43.49%
,,,,,200,INT 49.29%
NOAA-SST,noaa-buoy-201701.csv,4.392,,,
,,,0,"[0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 'N', 0, 0, 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 0, 0, 'N', 0, 0, 0, 0, 'N', 0, 0, 'N', 'N', 0, 'N', 'N', 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 'N', 0]",5,INT 52.24%
,,,,,10,INT 52.94%
,,,,,25,INT 53.63%
,,,,,50,INT 54.29%
,,,,,100,INT 54.93%
,,,,,200,INT 55.56%
,,,1,"[0, 10, 10, 8, 11, 10, 10, 'N', 17, 'N', 'N', 1, 7, 'N', 12, 6, 'N', 10, 13, 1, 16, 18, 12, 9, 'N', 18, 'N', 10, 5, 20, 3, 12, 'N', 1, 12, 14, 12, 'N', 12, 1, 'N', 'N', 14, 'N', 'N', 'N', 1, 7, 'N', 11, 7, 45, 21, 56, 'N', 12]",5,INT 54.36%
,,,,,10,INT 56.87%
,,,,,25,INT 58.84%
,,,,,50,INT 59.78%
,,,,,100,INT 60.52%
,,,,,200,INT 61.21%
,,,3,"[0, 30, 30, 24, 33, 31, 29, 'N', 51, 'N', 'N', 3, 22, 'N', 36, 18, 'N', 31, 39, 2, 47, 54, 35, 26, 'N', 54, 'N', 31, 14, 60, 9, 37, 'N', 4, 35, 42, 37, 'N', 36, 4, 'N', 'N', 43, 'N', 'N', 'N', 3, 21, 'N', 32, 21, 134, 62, 167, 'N', 36]",5,INT 53.09%
,,,,,10,INT 54.82%
,,,,,25,INT 56.97%
,,,,,50,INT 58.44%
,,,,,100,INT 59.38%
,,,,,200,INT 60.09%
