Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,5,"[0, 1, 1, 2, 'N', 'N', 3, 1, 'N', 'N', 'N']",5,126.697,119.1,447185,0,447185,100.0,550207,15381,565588,140.34
,,,,,,10,97.612,91.76,447185,0,447185,100.0,317528,15381,332909,82.61
,,,,,,25,81.610,76.72,447185,0,447185,100.0,189511,15381,204892,50.84
,,,,,,50,77.517,72.87,447185,0,447185,100.0,156768,15381,172149,42.72
,,,,,,100,76.227,71.66,447185,0,447185,100.0,146441,15381,161822,40.15
,,,,,,200,76.097,71.54,447185,0,447185,100.0,145408,15381,160789,39.9
,,,,10,"[0, 1, 3, 4, 'N', 'N', 6, 2, 'N', 'N', 'N']",5,125.717,118.18,447185,0,447185,100.0,542365,15381,557746,138.39
,,,,,,10,95.598,89.87,447185,0,447185,100.0,301412,15381,316793,78.61
,,,,,,25,78.445,73.74,447185,0,447185,100.0,164188,15381,179569,44.56
,,,,,,50,73.519,69.11,447185,0,447185,100.0,124778,15381,140159,34.78
,,,,,,100,71.638,67.34,447185,0,447185,100.0,109734,15381,125115,31.05
,,,,,,200,71.044,66.79,447185,0,447185,100.0,104984,15381,120365,29.87
,,,,15,"[0, 2, 4, 6, 'N', 'N', 9, 3, 'N', 'N', 'N']",5,125.051,117.56,447185,0,447185,100.0,537040,15381,552421,137.07
,,,,,,10,94.586,88.92,447185,0,447185,100.0,293320,15381,308701,76.6
,,,,,,25,76.664,72.07,447185,0,447185,100.0,149937,15381,165318,41.02
,,,,,,50,71.344,67.07,447185,0,447185,100.0,107380,15381,122761,30.46
,,,,,,100,69.033,64.9,447185,0,447185,100.0,88892,15381,104273,25.87
,,,,,,200,68.316,64.22,447185,0,447185,100.0,83160,15381,98541,24.45
,,,,20,"[0, 2, 5, 7, 'N', 'N', 12, 4, 'N', 'N', 'N']",5,124.825,117.34,447185,0,447185,100.0,535231,15381,550612,136.62
,,,,,,10,94.238,88.59,447185,0,447185,100.0,290532,15381,305913,75.91
,,,,,,25,76.206,71.64,447185,0,447185,100.0,146280,15381,161661,40.11
,,,,,,50,70.731,66.49,447185,0,447185,100.0,102480,15381,117861,29.25
,,,,,,100,68.296,64.2,447185,0,447185,100.0,82999,15381,98380,24.41
,,,,,,200,67.434,63.39,447185,0,447185,100.0,76104,15381,91485,22.7
,,,,30,"[0, 3, 8, 11, 'N', 'N', 18, 6, 'N', 'N', 'N']",5,124.235,116.79,447185,0,447185,100.0,530506,15381,545887,135.45
,,,,,,10,93.230,87.64,447185,0,447185,100.0,282472,15381,297853,73.91
,,,,,,25,74.973,70.48,447185,0,447185,100.0,136413,15381,151794,37.66
,,,,,,50,69.226,65.08,447185,0,447185,100.0,90440,15381,105821,26.26
,,,,,,100,66.624,62.63,447185,0,447185,100.0,69619,15381,85000,21.09
,,,,,,200,65.549,61.62,447185,0,447185,100.0,61024,15381,76405,18.96
,vwc_222.smet.csv,26.304,CoderBasic,,,,315.994,100,447168,0,447168,100,2070330,9648,2079978,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,569.988,180.38,447168,0,447168,100.0,4102282,9648,4111930,197.69
,,,,,,10,474.515,150.17,447168,0,447168,100.0,3338500,9648,3348148,160.97
,,,,,,25,433.905,137.31,447168,0,447168,100.0,3013617,9648,3023265,145.35
,,,,,,50,432.452,136.85,447168,0,447168,100.0,3001994,9648,3011642,144.79
,,,,,,100,435.896,137.94,447168,0,447168,100.0,3029545,9648,3039193,146.12
,,,,,,200,440.780,139.49,447168,0,447168,100.0,3068616,9648,3078264,148.0
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,569.988,180.38,447168,0,447168,100.0,4102282,9648,4111930,197.69
,,,,,,10,474.515,150.17,447168,0,447168,100.0,3338500,9648,3348148,160.97
,,,,,,25,433.905,137.31,447168,0,447168,100.0,3013617,9648,3023265,145.35
,,,,,,50,432.452,136.85,447168,0,447168,100.0,3001994,9648,3011642,144.79
,,,,,,100,435.896,137.94,447168,0,447168,100.0,3029545,9648,3039193,146.12
,,,,,,200,440.780,139.49,447168,0,447168,100.0,3068616,9648,3078264,148.0
,,,,3,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]",5,473.642,149.89,447168,0,447168,100.0,3331511,9648,3341159,160.63
,,,,,,10,337.699,106.87,447168,0,447168,100.0,2243968,9648,2253616,108.35
,,,,,,25,267.468,84.64,447168,0,447168,100.0,1682119,9648,1691767,81.34
,,,,,,50,253.671,80.28,447168,0,447168,100.0,1571748,9648,1581396,76.03
,,,,,,100,250.762,79.36,447168,0,447168,100.0,1548478,9648,1558126,74.91
,,,,,,200,251.662,79.64,447168,0,447168,100.0,1555672,9648,1565320,75.26
,,,,5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5,412.483,130.54,447168,0,447168,100.0,2842242,9648,2851890,137.11
,,,,,,10,250.739,79.35,447168,0,447168,100.0,1548292,9648,1557940,74.9
,,,,,,25,160.056,50.65,447168,0,447168,100.0,822825,9648,832473,40.02
,,,,,,50,136.644,43.24,447168,0,447168,100.0,635530,9648,645178,31.02
,,,,,,100,127.981,40.5,447168,0,447168,100.0,566225,9648,575873,27.69
,,,,,,200,125.585,39.74,447168,0,447168,100.0,547056,9648,556704,26.76
,,,,10,"[0, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1]",5,407.366,128.92,447168,0,447168,100.0,2801308,9648,2810956,135.14
,,,,,,10,240.161,76.0,447168,0,447168,100.0,1463668,9648,1473316,70.83
,,,,,,25,141.422,44.75,447168,0,447168,100.0,673753,9648,683401,32.86
,,,,,,50,111.886,35.41,447168,0,447168,100.0,437468,9648,447116,21.5
,,,,,,100,98.707,31.24,447168,0,447168,100.0,332035,9648,341683,16.43
,,,,,,200,93.856,29.7,447168,0,447168,100.0,293224,9648,302872,14.56
,,,,15,"[0, 3, 2, 3, 4, 2, 3, 2, 3, 4, 2]",5,406.102,128.52,447168,0,447168,100.0,2791194,9648,2800842,134.66
,,,,,,10,237.403,75.13,447168,0,447168,100.0,1441604,9648,1451252,69.77
,,,,,,25,135.950,43.02,447168,0,447168,100.0,629975,9648,639623,30.75
,,,,,,50,103.880,32.87,447168,0,447168,100.0,373418,9648,383066,18.42
,,,,,,100,88.918,28.14,447168,0,447168,100.0,253722,9648,263370,12.66
,,,,,,200,82.768,26.19,447168,0,447168,100.0,204520,9648,214168,10.3
,,,,20,"[0, 4, 3, 4, 5, 3, 4, 3, 4, 5, 2]",5,405.469,128.32,447168,0,447168,100.0,2786134,9648,2795782,134.41
,,,,,,10,235.950,74.67,447168,0,447168,100.0,1429976,9648,1439624,69.21
,,,,,,25,133.324,42.19,447168,0,447168,100.0,608967,9648,618615,29.74
,,,,,,50,100.065,31.67,447168,0,447168,100.0,342898,9648,352546,16.95
,,,,,,100,84.250,26.66,447168,0,447168,100.0,216376,9648,226024,10.87
,,,,,,200,77.260,24.45,447168,0,447168,100.0,160456,9648,170104,8.18
,,,,30,"[0, 6, 4, 5, 8, 5, 7, 5, 6, 8, 3]",5,404.795,128.1,447168,0,447168,100.0,2780742,9648,2790390,134.15
,,,,,,10,234.658,74.26,447168,0,447168,100.0,1419644,9648,1429292,68.72
,,,,,,25,131.051,41.47,447168,0,447168,100.0,590783,9648,600431,28.87
,,,,,,50,96.775,30.63,447168,0,447168,100.0,316578,9648,326226,15.68
,,,,,,100,80.034,25.33,447168,0,447168,100.0,182651,9648,192299,9.25
,,,,,,200,72.184,22.84,447168,0,447168,100.0,119848,9648,129496,6.23
,vwc_333.smet.csv,26.088,CoderBasic,,,,336.007,100,443496,0,443496,100,2233600,10152,2243752,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,595.307,177.17,443496,0,443496,100.0,4308004,10152,4318156,192.45
,,,,,,10,484.583,144.22,443496,0,443496,100.0,3422208,10152,3432360,152.97
,,,,,,25,436.652,129.95,443496,0,443496,100.0,3038765,10152,3048917,135.88
,,,,,,50,433.276,128.95,443496,0,443496,100.0,3011756,10152,3021908,134.68
,,,,,,100,436.205,129.82,443496,0,443496,100.0,3035186,10152,3045338,135.73
,,,,,,200,440.991,131.24,443496,0,443496,100.0,3073472,10152,3083624,137.43
,,,,1,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",5,523.554,155.82,443496,0,443496,100.0,3733980,10152,3744132,166.87
,,,,,,10,382.799,113.93,443496,0,443496,100.0,2607940,10152,2618092,116.68
,,,,,,25,312.677,93.06,443496,0,443496,100.0,2046959,10152,2057111,91.68
,,,,,,50,300.022,89.29,443496,0,443496,100.0,1945726,10152,1955878,87.17
,,,,,,100,297.595,88.57,443496,0,443496,100.0,1926308,10152,1936460,86.3
,,,,,,200,299.079,89.01,443496,0,443496,100.0,1938176,10152,1948328,86.83
,,,,3,"[0, 2, 0, 0, 2, 1, 1, 0, 0, 2, 3]",5,494.836,147.27,443496,0,443496,100.0,3504237,10152,3514389,156.63
,,,,,,10,340.533,101.35,443496,0,443496,100.0,2269808,10152,2279960,101.61
,,,,,,25,257.373,76.6,443496,0,443496,100.0,1604531,10152,1614683,71.96
,,,,,,50,237.714,70.75,443496,0,443496,100.0,1447256,10152,1457408,64.95
,,,,,,100,231.152,68.79,443496,0,443496,100.0,1394763,10152,1404915,62.61
,,,,,,200,229.990,68.45,443496,0,443496,100.0,1385464,10152,1395616,62.2
,,,,5,"[0, 4, 1, 0, 3, 2, 2, 0, 1, 3, 5]",5,457.568,136.18,443496,0,443496,100.0,3206087,10152,3216239,143.34
,,,,,,10,286.817,85.36,443496,0,443496,100.0,1840084,10152,1850236,82.46
,,,,,,25,189.697,56.46,443496,0,443496,100.0,1063120,10152,1073272,47.83
,,,,,,50,162.546,48.38,443496,0,443496,100.0,845918,10152,856070,38.15
,,,,,,100,151.659,45.14,443496,0,443496,100.0,758816,10152,768968,34.27
,,,,,,200,148.009,44.05,443496,0,443496,100.0,729616,10152,739768,32.97
,,,,10,"[0, 8, 1, 1, 5, 3, 5, 1, 1, 5, 11]",5,434.226,129.23,443496,0,443496,100.0,3019358,10152,3029510,135.02
,,,,,,10,253.306,75.39,443496,0,443496,100.0,1571992,10152,1582144,70.51
,,,,,,25,146.645,43.64,443496,0,443496,100.0,718704,10152,728856,32.48
,,,,,,50,114.014,33.93,443496,0,443496,100.0,457660,10152,467812,20.85
,,,,,,100,99.620,29.65,443496,0,443496,100.0,342504,10152,352656,15.72
,,,,,,200,93.896,27.94,443496,0,443496,100.0,296712,10152,306864,13.68
,,,,15,"[0, 12, 2, 1, 8, 5, 7, 1, 2, 8, 16]",5,432.535,128.73,443496,0,443496,100.0,3005824,10152,3015976,134.42
,,,,,,10,249.982,74.4,443496,0,443496,100.0,1545404,10152,1555556,69.33
,,,,,,25,140.297,41.75,443496,0,443496,100.0,667920,10152,678072,30.22
,,,,,,50,105.667,31.45,443496,0,443496,100.0,390880,10152,401032,17.87
,,,,,,100,89.458,26.62,443496,0,443496,100.0,261209,10152,271361,12.09
,,,,,,200,82.529,24.56,443496,0,443496,100.0,205776,10152,215928,9.62
