DATASET:,NOAA-2016
FILENAME:,TAO_T8N165E_R_SST_10min.ascii
Timestamp,SST,Q,M
00:10:00,28.817,2,R
00:10:00,28.820,2,R
00:10:00,28.821,2,R
00:10:00,28.821,2,R
00:10:00,28.820,2,R
00:10:00,28.813,2,R
00:10:00,28.820,2,R
00:10:00,28.811,2,R
00:10:00,28.812,2,R
00:10:00,28.800,2,R
00:10:00,28.812,2,R
00:10:00,28.807,3,R
00:10:00,28.807,3,R
00:10:00,28.812,2,R
00:10:00,28.809,2,R
00:10:00,28.806,2,R
00:10:00,28.805,2,R
00:10:00,28.812,2,R
00:10:00,28.805,2,R
00:10:00,28.806,2,R
00:10:00,28.808,2,R
00:10:00,28.803,2,R
00:10:00,28.804,2,R
00:10:00,28.795,2,R
00:10:00,28.803,2,R
00:10:00,28.800,2,R
00:10:00,28.802,2,R
00:10:00,28.799,2,R
00:10:00,28.803,2,R
00:10:00,28.801,2,R
00:10:00,28.798,2,R
00:10:00,28.797,2,R
00:10:00,28.802,2,R
00:10:00,28.791,2,R
00:10:00,28.798,2,R
00:10:00,28.790,2,R
00:10:00,28.800,2,R
00:10:00,28.803,2,R
00:10:00,28.799,2,R
00:10:00,28.788,2,R
00:10:00,28.806,2,R
00:10:00,28.802,2,R
00:10:00,28.798,2,R
00:10:00,28.796,2,R
00:10:00,28.788,2,R
00:10:00,28.805,2,R
00:10:00,28.800,2,R
00:10:00,28.798,2,R
00:10:00,28.792,2,R
00:10:00,28.792,2,R
00:10:00,28.793,2,R
00:10:00,28.794,2,R
00:10:00,28.795,2,R
00:10:00,28.799,2,R
00:10:00,28.788,2,R
00:10:00,28.782,2,R
00:10:00,28.790,2,R
00:10:00,28.791,2,R
00:10:00,28.788,2,R
00:10:00,28.781,2,R
00:10:00,28.775,2,R
00:10:00,28.782,2,R
00:10:00,28.792,2,R
00:10:00,28.778,2,R
00:10:00,28.785,2,R
00:10:00,28.795,2,R
00:10:00,28.785,2,R
00:10:00,28.787,2,R
00:10:00,28.785,2,R
00:10:00,28.789,2,R
00:10:00,28.788,2,R
00:10:00,28.781,2,R
00:10:00,28.786,2,R
00:10:00,28.785,2,R
00:10:00,28.776,2,R
00:10:00,28.782,2,R
00:10:00,28.774,2,R
00:10:00,28.779,2,R
00:10:00,28.780,2,R
00:10:00,28.784,2,R
00:10:00,28.785,2,R
00:10:00,28.785,2,R
00:10:00,28.763,2,R
00:10:00,28.775,2,R
00:10:00,28.766,2,R
00:10:00,28.758,2,R
00:10:00,28.777,2,R
00:10:00,28.775,2,R
00:10:00,28.771,2,R
00:10:00,28.765,2,R
00:10:00,28.766,2,R
00:10:00,28.761,2,R
00:10:00,28.765,2,R
00:10:00,28.769,2,R
00:10:00,28.767,2,R
00:10:00,28.772,2,R
00:10:00,28.759,2,R
00:10:00,28.767,2,R
00:10:00,28.765,2,R
00:10:00,28.769,2,R
00:10:00,28.764,2,R
00:10:00,28.760,2,R
00:10:00,28.761,2,R
00:10:00,28.760,2,R
00:10:00,28.759,2,R
00:10:00,28.747,2,R
00:10:00,28.746,2,R
00:10:00,28.751,2,R
00:10:00,28.743,2,R
00:10:00,28.737,2,R
00:10:00,28.740,2,R
00:10:00,28.746,2,R
00:10:00,28.740,2,R
00:10:00,28.740,2,R
00:10:00,28.736,2,R
00:10:00,28.741,2,R
00:10:00,28.736,2,R
00:10:00,28.738,2,R
00:10:00,28.736,2,R
00:10:00,28.741,2,R
00:10:00,28.742,2,R
00:10:00,28.740,2,R
00:10:00,28.740,2,R
00:10:00,28.744,2,R
00:10:00,28.743,2,R
00:10:00,28.743,2,R
00:10:00,28.751,2,R
00:10:00,28.756,2,R
00:10:00,28.759,2,R
00:10:00,28.758,2,R
00:10:00,28.763,2,R
00:10:00,28.763,2,R
00:10:00,28.766,2,R
00:10:00,28.778,2,R
00:10:00,28.776,2,R
00:10:00,28.772,2,R
00:10:00,28.771,2,R
00:10:00,28.773,2,R
00:10:00,28.781,2,R
00:10:00,28.779,2,R
00:10:00,28.781,2,R
00:10:00,28.778,2,R
00:10:00,28.781,2,R
00:10:00,28.793,2,R
00:10:00,28.790,2,R
00:10:00,28.789,2,R
00:10:00,28.785,2,R
00:10:00,28.787,2,R
00:10:00,28.791,2,R
00:10:00,28.797,2,R
00:10:00,28.789,2,R
00:10:00,28.794,2,R
00:10:00,28.790,2,R
00:10:00,28.801,2,R
00:10:00,28.794,2,R
00:10:00,28.791,2,R
00:10:00,28.791,2,R
00:10:00,28.793,2,R
00:10:00,28.790,2,R
00:10:00,28.791,2,R
00:10:00,28.788,2,R
