Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,256,61.481,15.98,447190,0,447190,100.0,39906,3928,43834,1.67
,,,,0.2,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,108.650,28.23,447190,0,447190,100.0,417264,3928,421192,16.01
,,,,,,8,85.248,22.15,447190,0,447190,100.0,230048,3928,233976,8.89
,,,,,,16,72.718,18.9,447190,0,447190,100.0,129808,3928,133736,5.08
,,,,,,32,66.188,17.2,447190,0,447190,100.0,77565,3928,81493,3.1
,,,,,,64,62.908,16.35,447190,0,447190,100.0,51328,3928,55256,2.1
,,,,,,128,61.342,15.94,447190,0,447190,100.0,38794,3928,42722,1.62
,,,,,,256,60.738,15.78,447190,0,447190,100.0,33966,3928,37894,1.44
,,,,0.3,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,108.452,28.18,447190,0,447190,100.0,415680,3928,419608,15.95
,,,,,,8,84.941,22.07,447190,0,447190,100.0,227591,3928,231519,8.8
,,,,,,16,72.253,18.78,447190,0,447190,100.0,126084,3928,130012,4.94
,,,,,,32,65.556,17.04,447190,0,447190,100.0,72510,3928,76438,2.91
,,,,,,64,62.102,16.14,447190,0,447190,100.0,44880,3928,48808,1.86
,,,,,,128,60.345,15.68,447190,0,447190,100.0,30821,3928,34749,1.32
,,,,,,256,59.566,15.48,447190,0,447190,100.0,24588,3928,28516,1.08
,,,CoderCA,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,187.295,48.67,447190,0,447190,100.0,1046424,3928,1050352,39.93
,,,,,,8,177.626,46.16,447190,0,447190,100.0,969072,3928,973000,36.99
,,,,,,16,176.978,45.99,447190,0,447190,100.0,963886,3928,967814,36.79
,,,,,,32,182.254,47.36,447190,0,447190,100.0,1006095,3928,1010023,38.4
,,,,,,64,189.826,49.33,447190,0,447190,100.0,1066672,3928,1070600,40.7
,,,,,,128,198.037,51.46,447190,0,447190,100.0,1132353,3928,1136281,43.2
,,,,,,256,206.349,53.62,447190,0,447190,100.0,1198854,3928,1202782,45.72
,,,,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,187.295,48.67,447190,0,447190,100.0,1046424,3928,1050352,39.93
,,,,,,8,177.626,46.16,447190,0,447190,100.0,969072,3928,973000,36.99
,,,,,,16,176.978,45.99,447190,0,447190,100.0,963886,3928,967814,36.79
,,,,,,32,182.254,47.36,447190,0,447190,100.0,1006095,3928,1010023,38.4
,,,,,,64,189.826,49.33,447190,0,447190,100.0,1066672,3928,1070600,40.7
