DATASET:,NOAA
Timestamp,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
00:10:00,21454.0,N,23975.0,N,30327.0,N,28077.0,21899.0,22613.0,25604.0,25593.0,N,29968.0,27454.0,27958.0,N,21541.0,24597.0,24520.0,N,29998.0,28122.0,28247.0,21101.0,N,27151.0,25738.0,27094.0,29479.0,28170.0,28298.0,N,22596.0,25032.0,26246.0,27571.0,N,29311.0,N,N,27269.0,27964.0,N,29205.0,28263.0,N,N,24196.0,25173.0,N,N,29524.0,29829.0,22715.0,27910.0
00:10:00,21441.0,N,N,N,30331.0,N,N,21907.0,22622.0,25590.0,25562.0,N,29966.0,27449.0,27959.0,N,21530.0,24591.0,24514.0,N,29908.0,N,28214.0,21088.0,N,27128.0,N,27091.0,29480.0,28157.0,28260.0,N,22626.0,N,26240.0,27577.0,N,29291.0,N,N,27316.0,27966.0,N,29213.0,N,N,N,24193.0,25176.0,N,30072.0,29522.0,29849.0,22728.0,27883.0
00:10:00,21420.0,N,23967.0,N,30329.0,N,28057.0,21909.0,22629.0,25605.0,25589.0,N,29958.0,27449.0,27951.0,N,21520.0,24602.0,24527.0,N,30011.0,28110.0,28222.0,21110.0,25792.0,27150.0,25729.0,27092.0,29473.0,28160.0,28276.0,N,22625.0,25002.0,26243.0,27584.0,N,29297.0,N,N,27279.0,27946.0,N,29192.0,28263.0,N,N,24191.0,25196.0,N,30046.0,29531.0,29844.0,22724.0,27910.0
00:10:00,21428.0,N,23978.0,N,30329.0,N,28051.0,21929.0,22641.0,25594.0,25587.0,N,29951.0,27440.0,27940.0,N,21515.0,24594.0,24529.0,N,30003.0,28105.0,28203.0,21125.0,25770.0,27153.0,25731.0,27083.0,29469.0,28156.0,28262.0,N,22614.0,24983.0,26239.0,27563.0,N,29294.0,N,N,27265.0,27930.0,N,29188.0,28254.0,N,N,24183.0,25206.0,N,30169.0,29527.0,29832.0,22719.0,27920.0
00:10:00,21419.0,N,23991.0,N,30301.0,N,28057.0,21892.0,22638.0,25601.0,25582.0,N,29949.0,27442.0,27936.0,N,21512.0,24598.0,24546.0,N,30025.0,28108.0,28202.0,21113.0,25753.0,27157.0,25724.0,27088.0,29468.0,28158.0,28266.0,N,22625.0,24987.0,26236.0,27567.0,N,29276.0,N,N,27273.0,27933.0,N,29176.0,28251.0,N,N,24180.0,25203.0,N,30032.0,29503.0,29843.0,22718.0,27913.0
00:10:00,21405.0,N,23993.0,N,30310.0,N,28050.0,21892.0,22641.0,25594.0,25571.0,N,29934.0,27443.0,27934.0,N,21506.0,24599.0,24535.0,N,30004.0,28112.0,28196.0,21093.0,25737.0,27164.0,25719.0,27087.0,29459.0,28150.0,28261.0,N,22633.0,24996.0,26237.0,27544.0,N,29270.0,N,N,27281.0,27928.0,N,29177.0,28249.0,N,N,24178.0,25187.0,N,30052.0,29524.0,29832.0,22724.0,27917.0
00:10:00,21416.0,N,23963.0,N,30305.0,N,28048.0,21891.0,22630.0,25592.0,25568.0,N,29928.0,27441.0,27947.0,N,21506.0,24593.0,24515.0,N,29955.0,28098.0,28193.0,21114.0,25736.0,27147.0,25725.0,27093.0,29460.0,28154.0,28251.0,N,22645.0,24995.0,26233.0,27559.0,N,29291.0,N,N,27303.0,27912.0,N,29160.0,28257.0,N,N,24181.0,25180.0,N,30102.0,29532.0,29836.0,22726.0,27894.0
00:10:00,21414.0,N,N,N,30309.0,N,28055.0,21851.0,22644.0,25580.0,25542.0,N,29917.0,27426.0,27898.0,N,21499.0,24585.0,24499.0,N,29948.0,N,28195.0,21175.0,N,27109.0,25710.0,27094.0,29449.0,28151.0,28253.0,N,22628.0,N,26222.0,27551.0,N,29263.0,N,N,27296.0,27914.0,N,29163.0,N,N,N,24177.0,25180.0,N,30134.0,29483.0,29836.0,22718.0,27884.0
00:10:00,21400.0,N,23993.0,N,30286.0,N,28059.0,21842.0,22652.0,25591.0,25559.0,N,29913.0,27427.0,27960.0,N,21500.0,24582.0,24486.0,N,29955.0,28109.0,28177.0,21168.0,N,27125.0,25711.0,27094.0,29461.0,28145.0,28266.0,N,22607.0,24955.0,26223.0,27529.0,N,29272.0,N,N,27299.0,27926.0,N,29171.0,28258.0,N,N,24182.0,25191.0,N,30107.0,29498.0,29831.0,22719.0,27893.0
00:10:00,21407.0,N,23972.0,N,30284.0,N,28062.0,21904.0,22650.0,25582.0,25559.0,N,29908.0,27424.0,27940.0,N,21494.0,24585.0,24471.0,N,29952.0,28090.0,28151.0,21163.0,N,27120.0,25715.0,27085.0,29450.0,28142.0,28265.0,N,22605.0,24960.0,26224.0,27539.0,N,29290.0,N,N,27297.0,27924.0,N,29175.0,28253.0,N,N,24183.0,25190.0,N,30139.0,29508.0,29838.0,22730.0,27909.0
