Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,vwc_1203.dat.csv,26.305,,,,25,32.209,21.81,44.572,25.41,212.295,21.12
,vwc_1203.dat.csv,26.305,,,,50,19.535,13.23,23.782,13.56,131.696,13.1
,vwc_1203.dat.csv,26.305,,,,100,13.265,8.98,12.576,7.17,92.735,9.23
,vwc_1203.dat.csv,26.305,,,,200,10.290,6.97,6.600,3.76,74.916,7.45
,vwc_1203.dat.csv,26.305,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,121.715,82.43,175.400,100.0,797.511,79.35
,vwc_1203.dat.csv,26.305,,,,10,68.634,46.48,100.506,57.3,447.762,44.55
,vwc_1203.dat.csv,26.305,,,,25,31.485,21.32,44.572,25.41,206.505,20.55
,vwc_1203.dat.csv,26.305,,,,50,18.511,12.54,23.782,13.56,123.504,12.29
,vwc_1203.dat.csv,26.305,,,,100,11.907,8.06,12.576,7.17,81.872,8.15
,vwc_1203.dat.csv,26.305,,,,200,8.753,5.93,6.600,3.76,62.622,6.23
,vwc_1204.dat.csv,26.305,CoderCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",5,161.779,100,175.400,100,1.118.026,100
,vwc_1204.dat.csv,26.305,,,,10,121.540,75.13,100.506,57.3,871.010,77.91
,vwc_1204.dat.csv,26.305,,,,25,97.433,60.23,44.572,25.41,734.085,65.66
,vwc_1204.dat.csv,26.305,,,,50,93.129,57.57,23.782,13.56,720.448,64.44
,vwc_1204.dat.csv,26.305,,,,100,93.417,57.74,12.576,7.17,733.958,65.65
,vwc_1204.dat.csv,26.305,,,,200,96.017,59.35,6.600,3.76,760.734,68.04
,vwc_1204.dat.csv,26.305,,3,"[0, 2, 0, 0, 1, 1, 2, 1, 0, 1, 'N']",5,142.055,87.81,175.400,100.0,960.232,85.89
,vwc_1204.dat.csv,26.305,,,,10,94.371,58.33,100.506,57.3,653.660,58.47
,vwc_1204.dat.csv,26.305,,,,25,63.403,39.19,44.572,25.41,461.850,41.31
,vwc_1204.dat.csv,26.305,,,,50,55.215,34.13,23.782,13.56,417.136,37.31
,vwc_1204.dat.csv,26.305,,,,100,52.490,32.45,12.576,7.17,406.538,36.36
,vwc_1204.dat.csv,26.305,,,,200,52.473,32.43,6.600,3.76,412.380,36.88
,vwc_1204.dat.csv,26.305,,5,"[0, 3, 1, 0, 2, 2, 4, 1, 1, 2, 'N']",5,133.025,82.23,175.400,100.0,887.991,79.42
,vwc_1204.dat.csv,26.305,,,,10,82.097,50.75,100.506,57.3,555.464,49.68
,vwc_1204.dat.csv,26.305,,,,25,48.064,29.71,44.572,25.41,339.135,30.33
,vwc_1204.dat.csv,26.305,,,,50,38.007,23.49,23.782,13.56,279.472,25.0
,vwc_1204.dat.csv,26.305,,,,100,33.705,20.83,12.576,7.17,256.258,22.92
,vwc_1204.dat.csv,26.305,,,,200,32.356,20.0,6.600,3.76,251.442,22.49
,vwc_1204.dat.csv,26.305,,10,"[0, 6, 2, 1, 3, 3, 7, 2, 2, 3, 'N']",5,127.872,79.04,175.400,100.0,846.768,75.74
,vwc_1204.dat.csv,26.305,,,,10,74.523,46.06,100.506,57.3,494.872,44.26
,vwc_1204.dat.csv,26.305,,,,25,37.527,23.2,44.572,25.41,254.835,22.79
,vwc_1204.dat.csv,26.305,,,,50,25.387,15.69,23.782,13.56,178.512,15.97
,vwc_1204.dat.csv,26.305,,,,100,19.546,12.08,12.576,7.17,142.987,12.79
,vwc_1204.dat.csv,26.305,,,,200,17.063,10.55,6.600,3.76,129.096,11.55
,vwc_1204.dat.csv,26.305,,15,"[0, 9, 2, 1, 5, 5, 11, 3, 2, 5, 'N']",5,127.659,78.91,175.400,100.0,845.065,75.59
,vwc_1204.dat.csv,26.305,,,,10,74.113,45.81,100.506,57.3,491.596,43.97
,vwc_1204.dat.csv,26.305,,,,25,36.850,22.78,44.572,25.41,249.420,22.31
,vwc_1204.dat.csv,26.305,,,,50,24.465,15.12,23.782,13.56,171.136,15.31
,vwc_1204.dat.csv,26.305,,,,100,18.464,11.41,12.576,7.17,134.334,12.02
,vwc_1204.dat.csv,26.305,,,,200,15.807,9.77,6.600,3.76,119.052,10.65
,vwc_1204.dat.csv,26.305,,20,"[0, 12, 3, 2, 6, 7, 14, 4, 3, 6, 'N']",5,127.142,78.59,175.400,100.0,840.931,75.22
,vwc_1204.dat.csv,26.305,,,,10,73.048,45.15,100.506,57.3,483.070,43.21
,vwc_1204.dat.csv,26.305,,,,25,34.986,21.63,44.572,25.41,234.510,20.98
,vwc_1204.dat.csv,26.305,,,,50,21.867,13.52,23.782,13.56,150.352,13.45
,vwc_1204.dat.csv,26.305,,,,100,15.277,9.44,12.576,7.17,108.834,9.73
,vwc_1204.dat.csv,26.305,,,,200,12.230,7.56,6.600,3.76,90.432,8.09
,vwc_1204.dat.csv,26.305,,30,"[0, 18, 5, 3, 9, 10, 21, 6, 5, 10, 'N']",5,126.794,78.37,175.400,100.0,838.149,74.97
,vwc_1204.dat.csv,26.305,,,,10,72.458,44.79,100.506,57.3,478.352,42.79
,vwc_1204.dat.csv,26.305,,,,25,33.945,20.98,44.572,25.41,226.185,20.23
,vwc_1204.dat.csv,26.305,,,,50,20.465,12.65,23.782,13.56,139.136,12.44
,vwc_1204.dat.csv,26.305,,,,100,13.520,8.36,12.576,7.17,94.775,8.48
,vwc_1204.dat.csv,26.305,,,,200,10.169,6.29,6.600,3.76,73.944,6.61
