Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,CoderPWLH,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,582.186,151.29,447185,0,447185,100.0,4209482,0,4209482,160.03
,,,,,,8,445.134,115.68,447185,0,447185,100.0,3113068,0,3113068,118.35
,,,,,,16,386.268,100.38,447185,0,447185,100.0,2642140,0,2642140,100.44
,,,,,,32,364.805,94.8,447185,0,447185,100.0,2470431,0,2470431,93.91
,,,,,,64,358.320,93.12,447185,0,447185,100.0,2418550,0,2418550,91.94
,,,,,,128,357.810,92.98,447185,0,447185,100.0,2414472,0,2414472,91.79
,,,,,,256,359.647,93.46,447185,0,447185,100.0,2429168,0,2429168,92.35
,,,,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,582.186,151.29,447185,0,447185,100.0,4209482,0,4209482,160.03
,,,,,,8,445.134,115.68,447185,0,447185,100.0,3113068,0,3113068,118.35
,,,,,,16,386.268,100.38,447185,0,447185,100.0,2642140,0,2642140,100.44
,,,,,,32,364.805,94.8,447185,0,447185,100.0,2470431,0,2470431,93.91
,,,,,,64,358.320,93.12,447185,0,447185,100.0,2418550,0,2418550,91.94
,,,,,,128,357.810,92.98,447185,0,447185,100.0,2414472,0,2414472,91.79
,,,,,,256,359.647,93.46,447185,0,447185,100.0,2429168,0,2429168,92.35
,,,,0.03,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,556.313,144.57,447185,0,447185,100.0,4002496,0,4002496,152.16
,,,,,,8,403.655,104.9,447185,0,447185,100.0,2781234,0,2781234,105.73
,,,,,,16,334.917,87.03,447185,0,447185,100.0,2231328,0,2231328,84.83
,,,,,,32,306.970,79.77,447185,0,447185,100.0,2007751,0,2007751,76.33
,,,,,,64,296.872,77.15,447185,0,447185,100.0,1926968,0,1926968,73.25
,,,,,,128,294.063,76.42,447185,0,447185,100.0,1904501,0,1904501,72.4
,,,,,,256,294.489,76.53,447185,0,447185,100.0,1907904,0,1907904,72.53
,,,,0.05,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,502.773,130.65,447185,0,447185,100.0,3574176,0,3574176,135.87
,,,,,,8,317.794,82.58,447185,0,447185,100.0,2094349,0,2094349,79.62
,,,,,,16,228.405,59.35,447185,0,447185,100.0,1379236,0,1379236,52.43
,,,,,,32,186.823,48.55,447185,0,447185,100.0,1046580,0,1046580,39.79
,,,,,,64,168.259,43.72,447185,0,447185,100.0,898062,0,898062,34.14
,,,,,,128,160.461,41.7,447185,0,447185,100.0,835679,0,835679,31.77
,,,,,,256,157.887,41.03,447185,0,447185,100.0,815088,0,815088,30.99
,,,,0.1,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,476.414,123.8,447185,0,447185,100.0,3363304,0,3363304,127.86
,,,,,,8,274.855,71.43,447185,0,447185,100.0,1750834,0,1750834,66.56
,,,,,,16,174.206,45.27,447185,0,447185,100.0,945644,0,945644,35.95
,,,,,,32,124.629,32.39,447185,0,447185,100.0,549028,0,549028,20.87
,,,,,,64,100.883,26.22,447185,0,447185,100.0,359058,0,359058,13.65
,,,,,,128,89.850,23.35,447185,0,447185,100.0,270793,0,270793,10.29
,,,,,,256,85.273,22.16,447185,0,447185,100.0,234176,0,234176,8.9
,,,,0.15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,474.982,123.43,447185,0,447185,100.0,3351852,0,3351852,127.42
,,,,,,8,272.024,70.69,447185,0,447185,100.0,1728182,0,1728182,65.7
,,,,,,16,169.653,44.09,447185,0,447185,100.0,909216,0,909216,34.56
,,,,,,32,118.443,30.78,447185,0,447185,100.0,499540,0,499540,18.99
,,,,,,64,93.378,24.27,447185,0,447185,100.0,299018,0,299018,11.37
,,,,,,128,81.297,21.13,447185,0,447185,100.0,202367,0,202367,7.69
,,,,,,256,75.897,19.72,447185,0,447185,100.0,159168,0,159168,6.05
,,,,0.2,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,474.793,123.38,447185,0,447185,100.0,3350338,0,3350338,127.37
,,,,,,8,271.496,70.55,447185,0,447185,100.0,1723958,0,1723958,65.54
,,,,,,16,168.650,43.83,447185,0,447185,100.0,901196,0,901196,34.26
,,,,,,32,116.964,30.4,447185,0,447185,100.0,487709,0,487709,18.54
,,,,,,64,91.432,23.76,447185,0,447185,100.0,283446,0,283446,10.78
,,,,,,128,78.941,20.51,447185,0,447185,100.0,183520,0,183520,6.98
,,,,,,256,73.256,19.04,447185,0,447185,100.0,138040,0,138040,5.25
,,,,0.3,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,474.458,123.3,447185,0,447185,100.0,3347656,0,3347656,127.26
,,,,,,8,270.838,70.38,447185,0,447185,100.0,1718697,0,1718697,65.34
,,,,,,16,167.413,43.51,447185,0,447185,100.0,891300,0,891300,33.88
,,,,,,32,115.377,29.98,447185,0,447185,100.0,475013,0,475013,18.06
,,,,,,64,89.275,23.2,447185,0,447185,100.0,266194,0,266194,10.12
,,,,,,128,76.460,19.87,447185,0,447185,100.0,163672,0,163672,6.22
,,,,,,256,70.344,18.28,447185,0,447185,100.0,114744,0,114744,4.36
,,,CoderPWLHInt,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,234.017,60.81,447185,0,447185,100.0,1424128,0,1424128,54.14
,,,,,,8,191.532,49.77,447185,0,447185,100.0,1084250,0,1084250,41.22
,,,,,,16,173.864,45.18,447185,0,447185,100.0,942904,0,942904,35.85
,,,,,,32,168.708,43.84,447185,0,447185,100.0,901655,0,901655,34.28
,,,,,,64,168.803,43.87,447185,0,447185,100.0,902420,0,902420,34.31
,,,,,,128,171.101,44.46,447185,0,447185,100.0,920804,0,920804,35.0
,,,,,,256,174.305,45.3,447185,0,447185,100.0,946434,0,946434,35.98
,,,,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,234.017,60.81,447185,0,447185,100.0,1424128,0,1424128,54.14
,,,,,,8,191.532,49.77,447185,0,447185,100.0,1084250,0,1084250,41.22
,,,,,,16,173.864,45.18,447185,0,447185,100.0,942904,0,942904,35.85
,,,,,,32,168.708,43.84,447185,0,447185,100.0,901655,0,901655,34.28
,,,,,,64,168.803,43.87,447185,0,447185,100.0,902420,0,902420,34.31
,,,,,,128,171.101,44.46,447185,0,447185,100.0,920804,0,920804,35.0
,,,,,,256,174.305,45.3,447185,0,447185,100.0,946434,0,946434,35.98
,,,,0.03,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,234.017,60.81,447185,0,447185,100.0,1424128,0,1424128,54.14
,,,,,,8,191.532,49.77,447185,0,447185,100.0,1084250,0,1084250,41.22
,,,,,,16,173.864,45.18,447185,0,447185,100.0,942904,0,942904,35.85
,,,,,,32,168.708,43.84,447185,0,447185,100.0,901655,0,901655,34.28
,,,,,,64,168.803,43.87,447185,0,447185,100.0,902420,0,902420,34.31
,,,,,,128,171.101,44.46,447185,0,447185,100.0,920804,0,920804,35.0
,,,,,,256,174.305,45.3,447185,0,447185,100.0,946434,0,946434,35.98
,,,,0.05,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,234.017,60.81,447185,0,447185,100.0,1424128,0,1424128,54.14
,,,,,,8,191.532,49.77,447185,0,447185,100.0,1084250,0,1084250,41.22
,,,,,,16,173.864,45.18,447185,0,447185,100.0,942904,0,942904,35.85
,,,,,,32,168.708,43.84,447185,0,447185,100.0,901655,0,901655,34.28
,,,,,,64,168.803,43.87,447185,0,447185,100.0,902420,0,902420,34.31
,,,,,,128,171.101,44.46,447185,0,447185,100.0,920804,0,920804,35.0
,,,,,,256,174.305,45.3,447185,0,447185,100.0,946434,0,946434,35.98
,,,,0.1,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,223.758,58.15,447185,0,447185,100.0,1342060,0,1342060,51.02
,,,,,,8,174.623,45.38,447185,0,447185,100.0,948979,0,948979,36.08
,,,,,,16,152.352,39.59,447185,0,447185,100.0,770810,0,770810,29.3
,,,,,,32,143.830,37.38,447185,0,447185,100.0,702630,0,702630,26.71
,,,,,,64,141.707,36.82,447185,0,447185,100.0,685652,0,685652,26.07
,,,,,,128,142.341,36.99,447185,0,447185,100.0,690725,0,690725,26.26
,,,,,,256,144.252,37.49,447185,0,447185,100.0,706008,0,706008,26.84
,,,,0.15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,207.209,53.85,447185,0,447185,100.0,1209662,0,1209662,45.99
,,,,,,8,147.136,38.24,447185,0,447185,100.0,729079,0,729079,27.72
,,,,,,16,117.058,30.42,447185,0,447185,100.0,488456,0,488456,18.57
,,,,,,32,102.810,26.72,447185,0,447185,100.0,374475,0,374475,14.24
,,,,,,64,96.465,25.07,447185,0,447185,100.0,323716,0,323716,12.31
,,,,,,128,94.106,24.45,447185,0,447185,100.0,304841,0,304841,11.59
,,,,,,256,93.714,24.35,447185,0,447185,100.0,301706,0,301706,11.47
,,,,0.2,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,202.637,52.66,447185,0,447185,100.0,1173088,0,1173088,44.6
,,,,,,8,139.441,36.24,447185,0,447185,100.0,667525,0,667525,25.38
,,,,,,16,107.110,27.83,447185,0,447185,100.0,408876,0,408876,15.54
,,,,,,32,91.080,23.67,447185,0,447185,100.0,280635,0,280635,10.67
,,,,,,64,83.465,21.69,447185,0,447185,100.0,219712,0,219712,8.35
,,,,,,128,80.129,20.82,447185,0,447185,100.0,193026,0,193026,7.34
,,,,,,256,78.971,20.52,447185,0,447185,100.0,183758,0,183758,6.99
,,,,0.3,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,198.235,51.51,447185,0,447185,100.0,1137872,0,1137872,43.26
,,,,,,8,131.981,34.3,447185,0,447185,100.0,607844,0,607844,23.11
,,,,,,16,97.158,25.25,447185,0,447185,100.0,329256,0,329256,12.52
,,,,,,32,79.077,20.55,447185,0,447185,100.0,184610,0,184610,7.02
,,,,,,64,69.930,18.17,447185,0,447185,100.0,111430,0,111430,4.24
,,,,,,128,65.347,16.98,447185,0,447185,100.0,74772,0,74772,2.84
,,,,,,256,63.260,16.44,447185,0,447185,100.0,58070,0,58070,2.21
,,,CoderGAMPS,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,783.953,203.72,447185,0,447185,100.0,5823616,0,5823616,221.39
,,,,,,8,570.934,148.37,447185,0,447185,100.0,4119468,0,4119468,156.6
,,,,,,16,477.257,124.02,447185,0,447185,100.0,3370052,0,3370052,128.11
,,,,,,32,439.792,114.29,447185,0,447185,100.0,3070333,0,3070333,116.72
,,,,,,64,426.218,110.76,447185,0,447185,100.0,2961740,0,2961740,112.59
,,,,,,128,422.668,109.84,447185,0,447185,100.0,2933334,0,2933334,111.51
,,,,,,256,423.386,110.02,447185,0,447185,100.0,2939080,0,2939080,111.73
,,,,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,783.953,203.72,447185,0,447185,100.0,5823616,0,5823616,221.39
,,,,,,8,570.934,148.37,447185,0,447185,100.0,4119468,0,4119468,156.6
,,,,,,16,477.257,124.02,447185,0,447185,100.0,3370052,0,3370052,128.11
,,,,,,32,439.792,114.29,447185,0,447185,100.0,3070333,0,3070333,116.72
