Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,200,7.065,1.84,5.586,1.25,50.126,1.91
,vwc_1205.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",5,135.950,35.33,194.694,43.54,892.103,33.91
,,,,,,10,87.968,22.86,100.016,22.37,602.924,22.92
,,,,,,25,58.453,15.19,41.106,9.19,425.715,16.18
,,,,,,50,49.556,12.88,21.120,4.72,374.522,14.24
,,,,,,100,45.604,11.85,10.865,2.43,353.162,13.43
,,,,,,200,44.227,11.49,5.586,1.25,347.428,13.21
,,,,3,"[0, 0, 1, 1, 'N', 'N', 2, 1, 'N', 'N', 'N']",5,123.417,32.07,194.694,43.54,791.833,30.1
,,,,,,10,69.425,18.04,100.016,22.37,454.582,17.28
,,,,,,25,35.248,9.16,41.106,9.19,240.070,9.13
,,,,,,50,24.382,6.34,21.120,4.72,173.132,6.58
,,,,,,100,19.064,4.95,10.865,2.43,140.843,5.35
,,,,,,200,16.607,4.32,5.586,1.25,126.466,4.81
,,,,5,"[0, 1, 1, 2, 'N', 'N', 3, 1, 'N', 'N', 'N']",5,121.654,31.61,194.694,43.54,777.732,29.57
,,,,,,10,66.700,17.33,100.016,22.37,432.780,16.45
,,,,,,25,31.602,8.21,41.106,9.19,210.905,8.02
,,,,,,50,20.272,5.27,21.120,4.72,140.248,5.33
,,,,,,100,14.660,3.81,10.865,2.43,105.610,4.01
,,,,,,200,12.004,3.12,5.586,1.25,89.644,3.41
,,,,10,"[0, 1, 3, 4, 'N', 'N', 6, 2, 'N', 'N', 'N']",5,121.322,31.53,194.694,43.54,775.080,29.47
,,,,,,10,66.002,17.15,100.016,22.37,427.198,16.24
,,,,,,25,30.486,7.92,41.106,9.19,201.980,7.68
,,,,,,50,18.838,4.9,21.120,4.72,128.780,4.9
,,,,,,100,12.999,3.38,10.865,2.43,92.322,3.51
,,,,,,200,10.131,2.63,5.586,1.25,74.658,2.84
,,,,15,"[0, 2, 4, 6, 'N', 'N', 9, 3, 'N', 'N', 'N']",5,121.103,31.47,194.694,43.54,773.328,29.4
,,,,,,10,65.664,17.06,100.016,22.37,424.494,16.14
,,,,,,25,29.876,7.76,41.106,9.19,197.100,7.49
,,,,,,50,18.080,4.7,21.120,4.72,122.714,4.67
,,,,,,100,12.080,3.14,10.865,2.43,84.967,3.23
,,,,,,200,9.149,2.38,5.586,1.25,66.804,2.54
,,,,20,"[0, 2, 5, 7, 'N', 'N', 12, 4, 'N', 'N', 'N']",5,121.026,31.45,194.694,43.54,772.707,29.37
,,,,,,10,65.533,17.03,100.016,22.37,423.442,16.1
,,,,,,25,29.718,7.72,41.106,9.19,195.835,7.44
,,,,,,50,17.870,4.64,21.120,4.72,121.034,4.6
,,,,,,100,11.814,3.07,10.865,2.43,82.844,3.15
,,,,,,200,8.818,2.29,5.586,1.25,64.154,2.44
,,,,30,"[0, 3, 8, 11, 'N', 'N', 18, 6, 'N', 'N', 'N']",5,120.824,31.4,194.694,43.54,771.094,29.31
,,,,,,10,65.183,16.94,100.016,22.37,420.640,15.99
,,,,,,25,29.262,7.6,41.106,9.19,192.185,7.31
,,,,,,50,17.339,4.51,21.120,4.72,116.786,4.44
,,,,,,100,11.199,2.91,10.865,2.43,77.920,2.96
,,,,,,200,8.113,2.11,5.586,1.25,58.516,2.22
,vwc_222.smet.csv,26.304,CoderBasic,,,,384.797,100,447.168,100,2.630.400,100
