Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,25,118.840,30.88,447.185,100.0,502.728,19.11
,,,,,,50,91.874,23.88,447.185,100.0,287.002,10.91
,,,,,,100,78.698,20.45,447.185,100.0,181.590,6.9
,,,,,,200,72.651,18.88,447.185,100.0,133.216,5.06
,,,,20,"[0, 6, 4, 3, 3, 'N', 7, 3, 2, 'N', 'N']",5,337.572,87.72,447.185,100.0,2.252.586,85.63
,,,,,,10,201.478,52.36,447.185,100.0,1.163.836,44.24
,,,,,,25,117.736,30.6,447.185,100.0,493.901,18.78
,,,,,,50,90.260,23.46,447.185,100.0,274.090,10.42
,,,,,,100,76.727,19.94,447.185,100.0,165.828,6.3
,,,,,,200,70.320,18.27,447.185,100.0,114.568,4.36
,,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,337.418,87.68,447.185,100.0,2.251.351,85.59
,,,,,,10,201.023,52.24,447.185,100.0,1.160.196,44.11
,,,,,,25,116.865,30.37,447.185,100.0,486.932,18.51
,,,,,,50,88.935,23.11,447.185,100.0,263.488,10.02
,,,,,,100,75.072,19.51,447.185,100.0,152.583,5.8
,,,,,,200,68.394,17.77,447.185,100.0,99.160,3.77
,,,CoderPWLHint,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,177.957,46.25,447.185,100.0,975.668,37.09
,,,,,,10,141.308,36.72,447.185,100.0,682.470,25.94
,,,,,,25,120.027,31.19,447.185,100.0,512.225,19.47
,,,,,,50,114.631,29.79,447.185,100.0,469.054,17.83
,,,,,,100,112.791,29.31,447.185,100.0,454.334,17.27
,,,,,,200,112.732,29.3,447.185,100.0,453.864,17.25
,,,,1,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,177.957,46.25,447.185,100.0,975.668,37.09
,,,,,,10,141.308,36.72,447.185,100.0,682.470,25.94
,,,,,,25,120.027,31.19,447.185,100.0,512.225,19.47
,,,,,,50,114.631,29.79,447.185,100.0,469.054,17.83
,,,,,,100,112.791,29.31,447.185,100.0,454.334,17.27
,,,,,,200,112.732,29.3,447.185,100.0,453.864,17.25
,,,,3,"[0, 1, 1, 0, 0, 'N', 1, 1, 0, 'N', 'N']",5,177.957,46.25,447.185,100.0,975.668,37.09
,,,,,,10,141.308,36.72,447.185,100.0,682.470,25.94
,,,,,,25,120.027,31.19,447.185,100.0,512.225,19.47
,,,,,,50,114.631,29.79,447.185,100.0,469.054,17.83
,,,,,,100,112.791,29.31,447.185,100.0,454.334,17.27
,,,,,,200,112.732,29.3,447.185,100.0,453.864,17.25
,,,,5,"[0, 1, 1, 1, 1, 'N', 2, 1, 1, 'N', 'N']",5,172.743,44.89,447.185,100.0,933.956,35.5
,,,,,,10,133.550,34.71,447.185,100.0,620.412,23.59
,,,,,,25,110.593,28.74,447.185,100.0,436.750,16.6
,,,,,,50,104.549,27.17,447.185,100.0,388.400,14.77
,,,,,,100,102.206,26.56,447.185,100.0,369.658,14.05
,,,,,,200,101.717,26.43,447.185,100.0,365.742,13.9
