Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,WORST,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,,CoderPWLHInt,16,16,16,16,64,64,64,128,,0.25,0.24,0.24,0.22,0.18,0.16,0.14,0.11,,29.72,30.34,46.18,47.63,51.24,58.83,65.11,79.27,79.27,,1963352,1946520,1926320,1783324,1410606,1266076,1122572,907532
,,,CoderFR,8,8,16,16,32,64,64,128,,0.3,0.3,0.24,0.22,0.17,0.13,0.11,0.07,,42.43,42.61,45.75,46.48,47.77,50.84,53.49,64.72,64.72,,2396899,2362813,1910880,1745040,1316905,1060418,842266,533230
,,,CoderSF,,,,,,,,,,1.62,1.59,1.15,1.02,0.71,0.53,0.39,0.18,,89.31,89.25,88.68,88.48,87.89,87.66,87.31,86.78,89.25,,12911358,12619560,9155781,8108559,5677554,4222563,3087621,1423392
,,,CoderGAMPSLimit,16,32,64,64,128,256,256,256,,0.59,0.58,0.43,0.38,0.27,0.2,0.15,0.07,,70.53,70.46,69.55,69.16,68.15,67.67,66.97,65.87,70.46,,4683254,4591167,3405008,3028128,2159560,1612206,1185822,551286
,,Z. Wind
,,,CoderBase,,256,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,68.54,68.54,68.54,68.54,72.64,76.50,79.46,83.56,83.56,,4472442,4472442,4472442,4472442,4472442,4472442,4472442,4472442
,,,CoderPCA,256,256,256,256,256,4,4,4,,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.26,,0.00,0.00,0.00,0.00,13.02,23.75,30.33,36.58,36.58,,1406923,1406923,1406923,1406923,1406923,1378501,1318291,1159450
,,,CoderAPCA,4,4,4,4,4,4,4,8,,0.37,0.37,0.33,0.32,0.27,0.24,0.21,0.16,,15.24,15.24,5.38,0.33,0.00,0.00,0.00,0.00,15.24,,1659893,1659893,1486973,1411612,1223776,1051120,918449,735346
,,,CoderCA,4,4,4,4,4,4,4,4,,0.38,0.38,0.36,0.36,0.34,0.32,0.3,0.27,,16.98,16.98,13.60,11.90,19.05,25.87,31.04,38.12,38.12,,1694730,1694730,1628466,1596885,1511789,1418003,1331884,1188334
,,,CoderPWLH,4,4,4,4,4,8,8,16,,1.12,1.12,1.06,1.02,0.94,0.84,0.74,0.59,,72.00,72.00,70.21,69.29,70.92,71.93,72.40,72.30,72.40,,5024200,5024200,4722672,4581898,4208000,3744023,3327347,2654638
,,,CoderPWLHInt,4,4,4,4,4,4,8,8,,0.35,0.35,0.35,0.34,0.31,0.28,0.26,0.21,,8.85,8.85,8.85,6.81,12.08,17.18,21.15,21.62,21.62,,1543449,1543449,1543449,1509689,1391941,1269228,1164811,938227
